IdInformativo,Img,Data,Titulo,TituloEn,Keywords,Descricao,KeywordsEn,ImgInicial,DescricaoEn
30,NULL,2012-09-20 00:00:00,Nº 18 - Informativo CABEC - Agosto/2012,NULL,NULL,20/09/2012 - Nº 18 - Informativo CABEC - Agosto/2012,NULL,9c72ba58e708134570d7847bf91bec2b.pdf,NULL
31,NULL,2012-11-22 00:00:00,Nº 19 - Informativo CABEC - Outubro/2012,NULL,NULL,22/11/2012 - Nº 19 - Informativo CABEC - Outubro/2012,NULL,7ae77bc2f93b29d3299a96be0f6848b1.pdf,NULL
32,NULL,2012-12-17 00:00:00,Nº 20 - Informativo CABEC - Dezembro/2012,NULL,NULL,17/12/2012 - Nº 20 - Informativo CABEC - Dezembro/201,NULL,ac94d8c6f3f120edfea15f3d1a1ce562.pdf,NULL
33,NULL,2013-05-03 00:00:00,Nº 22 - Informativo CABEC - Abril/2013,NULL,NULL,03/05/2013 - Nº 22 - Informativo CABEC - Abril/2013,NULL,c41d67bf8074480b08aa4e8794f38d2a.pdf,NULL
34,NULL,2013-06-26 00:00:00,Nº 23 - Informativo CABEC - Junho/2013,NULL,NULL,26/06/2013 - Nº 23 - Informativo CABEC - Junho/2013,NULL,1ae3a284947fa413f340290426b367c9.pdf,NULL
35,NULL,2013-08-28 00:00:00,Nº 24 - Informativo CABEC - Agosto/2013,NULL,NULL,28/08/2013 - Nº 24 - Informativo CABEC - Agosto/2013,NULL,e13f4cb17c5f6bb99e96c6d44280d4ff.pdf,NULL
36,NULL,2013-10-17 00:00:00,Nº 25 - Informativo CABEC - Outubro/2013,NULL,NULL,17/10/2013 - Nº 25 - Informativo CABEC - Outubro/2013,NULL,52641c6ccce7952d1f0f2a58cdca256a.pdf,NULL
38,NULL,2014-03-18 00:00:00,Nº 27 - Informativo CABEC - Fevereiro/2014,NULL,NULL,18/03/2014 - Nº 27 - Informativo CABEC - Fevereiro/20,NULL,de0e07ae2e5baf76cd825fb1575e93fe.pdf,NULL
39,NULL,2014-06-09 00:00:00,Nº 28 - Informativo CABEC - junho/2014,NULL,NULL,09/06/2014 - Nº 28 - Informativo CABEC - junho/2014,NULL,d5de8d10f223a755355e3f9b749fde20.pdf,NULL
40,NULL,2014-10-23 00:00:00,Edição,NULL,NULL,23/10/2014 - Informativo CABEC Eleições 2014,NULL,7903bcb076a65cd2bc3f21e0283a63da.pdf,NULL
41,NULL,2015-01-23 00:00:00,Nº 29 - Informativo CABEC - Novembro/2014,NULL,NULL,23/01/2015 - Confira as mudanças no envio dos extrato,NULL,73016bc45acc3c84bc55f5d2a568fd01.pdf,NULL
42,NULL,2016-06-17 00:00:00,Nº 31 - Informativo CABEC - Junho/2016,NULL,NULL,17/06/2016 - Nº 31 - Informativo CABEC - Junho/2016,NULL,7eff7743469cefae2db57a916b8b44ed.pdf,NULL
43,NULL,2017-08-14 00:00:00,Nº 32 - Informativo CABEC - Agosto/2017,NULL,NULL,14/08/2017 - Nº 32 - Informativo CABEC - Agosto/2017,NULL,dc9cdb8d2aaf86e4279686292c96fa2c.pdf,NULL
44,NULL,2017-09-28 00:00:00,Nº 33 - Informativo CABEC - Setembro/2017,NULL,NULL,28/09/2017 - Nº 32 - Informativo CABEC - Setembro/201,NULL,e6e5e084b0fbe261ec9a92405d04ce8a.pdf,NULL
45,NULL,2017-12-07 00:00:00,Nº 34 - Informativo CABEC - NOVEMBRO/2017,NULL,NULL,07/12/2017 - Confira o último Informativo CABEC. Educ,NULL,a800b960f8ae1b1aef5c9177ef5f5c0b.pdf,NULL
46,NULL,2018-03-12 00:00:00,Nº 35 - Informativo CABEC - FEVEREIRO/2018,NULL,NULL,12/03/2018 - Nº 35 - Informativo CABEC - FEVEREIRO/20,NULL,3821062eba0af32edc2766381dc6d0d1.pdf,NULL
47,NULL,2013-02-14 00:00:00,Nº 21 - Informativo CABEC - Fevereiro/2013,NULL,NULL,14/02/2013 - Nº 21 - Informativo CABEC - Fevereiro/20,NULL,7957641c9fc112e5061d310c4fdf8fc8.pdf,NULL
48,NULL,2013-12-27 00:00:00,Nº 26 - Informativo CABEC - Dezembro/2013,NULL,NULL,27/12/2013 - Nº 26 - Informativo CABEC - Dezembro/201,NULL,ca2bf1d3ebfa0eb291f1e882f5e9450d.pdf,NULL
49,NULL,2015-07-29 00:00:00,Nº 30 - Informativo CABEC - Maio/2015,NULL,NULL,29/07/2015 - Nº 30 - Informativo CABEC - Maio/2015,NULL,e3400986b936cfb48ea94d6fb0452bfe.pdf,NULL
50,NULL,2018-04-30 00:00:00,Nº 36 - Informativo CABEC - ABRIL/2018,NULL,NULL,30/04/2018 - Nº 36 - Informativo CABEC - ABRIL/2018,NULL,f0d5371f0988e3ab87e232998acc9aa1.pdf,NULL
51,NULL,2018-06-29 00:00:00,Nº 37 - Informativo CABEC - JUNHO/2018,NULL,NULL,29/06/2018 - Nº 37 - Informativo CABEC - JUNHO/2018,NULL,5af6b0466c252ee3c23622a5a40b934d.pdf,NULL
52,NULL,2018-08-01 00:00:00,Nº 38 - Informativo CABEC - AGOSTO/2018,NULL,NULL,01/08/2018 - Nº 38 - Informativo CABEC - AGOSTO/2018,NULL,553af4a0260a0d7c798e23f70ffa112f.pdf,NULL
53,NULL,2018-09-24 00:00:00,Nº 39 - Informativo CABEC - SETEMBRO/2018,NULL,NULL,24/09/2018 - Nº 39 - Informativo CABEC - SETEMBRO/201,NULL,9e85e9db1b3c17203b172d8c1a0a91d1.pdf,NULL
56,NULL,2018-12-04 00:00:00,Nº 40 - Informativo CABEC - NOVEMBRO/2018,NULL,NULL,Nº 40 - Informativo CABEC - NOVEMBRO/2018,NULL,0704ace9e6dcd6ef6c2ec2581ff95501.pdf,NULL
59,NULL,2019-02-07 00:00:00,Nº 41 - Informativo CABEC - FEVEREIRO/2019,NULL,NULL,Nº 41 - Informativo CABEC - FEVEREIRO/2019,NULL,11ffb310638293b991ffbd3bdf2630fa.pdf,NULL

