Idf_Status,Cod,Obs,Tipo,Ementa,Homepage,Cod_Curso,Coordenador,CoCoordenador,Carga_Horaria,Nom_Disciplina,Cod_Disciplina
A,17,NULL,P,https://uspdigital.usp.br/jupiterweb/obterDisciplina?sgldis=rcg0252&nomdis=,http://disciplinas.stoa.usp.br/course/search.php?search=rcg0252,1,PROFª DRª LÚCIA REGINA MARTELLI,PROFª DRª ESTER SILVEIRA RAMOS,45H,FECUNDAÇÃO IN VITRO EM MAMÍFEROS,RCG-0252
I,18,NULL,P,https://uspdigital.usp.br/jupiterweb/obterDisciplina?sgldis=rcg0375&nomdis=,NULL,1,PROFA. DRA. ESTER SILVEIRA RAMOS,PROFA. DRA. LÚCIA REGINA MARTELLI,45H,GENÉTICA NOS MEIOS DE COMUNICAÇÃO,RCG-375
A,19,NULL,P,https://uspdigital.usp.br/jupiterweb/obterDisciplina?sgldis=IBM1045&nomdis=,http://disciplinas.stoa.usp.br/course/search.php?search=IBM1045,6,PROF. DR. HOUTAN NOUSHMEHR,NULL,30H,LABORATÓRIO DE BIOINFORMÁTICA 1,IBM-1045
A,20,NULL,P,https://uspdigital.usp.br/jupiterweb/obterDisciplina?sgldis=IBM1049&nomdis=,NULL,6,PROFª DRª SILVANA GIULIATTI,NULL,30H,LABORATÓRIO DE BIOINFORMÁTICA 2,IBM-1049
A,24,NULL,O,https://uspdigital.usp.br/jupiterweb/obterDisciplina?sgldis=RCB0104&nomdis=,http://disciplinas.stoa.usp.br/course/search.php?search=rcb0104,7,PROFª DRª SILVANA GIULIATTI,NULL,225H,"FUNDAMENTOS DE FÍSICA, QUíMICA E MATEMÁTICA PARA ANÁLISE DE FENÔMENOS BIOLÓGICOS I",RCB-0104
A,21,NULL,O,https://uspdigital.usp.br/jupiterweb/obterDisciplina?sgldis=IBM1081&nomdis=,http://disciplinas.stoa.usp.br/course/search.php?search=ibm1081,6,PROF. DR. HOUTAN NOUSHMEHR,NULL,60H,MÉTODOS DA BIOINFORMÁTICA,IBM-1081
A,22,NULL,O,https://uspdigital.usp.br/jupiterweb/obterDisciplina?sgldis=IBM1067&nomdis=,NULL,6,PROF. DR. AGUINALDO LUIZ SIMõES,PROF. DR. WILSON ARAúJO DA SILVA JUNIOR,45H,EPIDEMIOLOGIA GENÉTICA,IBM-1067
A,23,NULL,P,https://uspdigital.usp.br/jupiterweb/obterDisciplina?sgldis=rcg0177&nomdis=,http://disciplinas.stoa.usp.br/course/search.php?search=rcg0177,1,PROF. DR. WILSON ARAúJO DA SILVA JUNIOR,NULL,45H,GENÉTICA MOLECULAR HUMANA,RCG-0177
A,25,NULL,O,https://uspdigital.usp.br/jupiterweb/obterDisciplina?sgldis=rcb0105&nomdis=,http://disciplinas.stoa.usp.br/course/search.php?search=rcb0105,7,PROFª DRª APARECIDA MARIA FONTES,NULL,270H,"BIOMOLÉCULAS, BIOLOGIA CELULAR E BIOESTRUTURAS",RCB-0105
A,26,NULL,O,https://uspdigital.usp.br/jupiterweb/obterDisciplina?sgldis=RCB0204&nomdis=,http://disciplinas.stoa.usp.br/course/search.php?search=rcb0204,7,PROFª DRª SILVANA GIULIATTI,NULL,255H,"FUNDAMENTOS DE FÍSICA, QUÍMICA E MATEMÁTICA PARA ANÁLISE DE FENÔMENOS BIOLÓGICOS II",RCB-0204
A,28,NULL,O,https://uspdigital.usp.br/jupiterweb/obterDisciplina?sgldis=RCB0300&nomdis=,http://disciplinas.stoa.usp.br/enrol/index.php?id=11911,7,NULL,NULL,30 H,TÓPICOS EM BIOTECNOLOGIA III,RCB-0300
I,29,NULL,O,NULL,NULL,6,NULL,NULL,30 H,GENÉTICA HUMANA,RFM-0009

