descri,codigo,cod_sto,cod_correio,nr_registro
SEDEX GRANDES FORMATOS LM,00213,71000000,000004146,9185
SEDEX PAG NA ENTREGA LM,00214,71000000,000004251,9186
SEDEX COMBO AR LM,00215,71000000,000004340,9187
SEDEX COMBO CONTRATO LM,00216,71000000,000004359,9188
SEDEX PROTOCOLO POSTAL,00217,71000000,000004073,9211
SEDEX SEDEX 10,00220,71000000,000040215,9189
SEDEX 10 PACOTE,00221,71000000,000040886,9190
SEDEX SEDEX PAG NA ENTREG,00222,71000000,000004065,9191
SEDEX A COBRAR FATURADO,00223,71000000,000040126,9192
SEDEX SC CAIXA POSTAL,00224,71000000,000040592,9193
SEDEX SEDEX HOJE,00233,71000000,000040290,9194
SEDEX HOJE  ENC,00234,71000000,000040100,9195
SEDEX 10 ENCOMENDA,00235,71000000,000040215,9196
SEDEX SEDEX 10,00236,71000000,000040215,9197
SEDEX SERVICO,00237,71000000,000040843,9198
SEDEX COMPACT,00240,71000000,000077143,9199
SEDEX COMBO,00241,71000000,000004103,9200
SEDEX COMBO CONTRATO,00242,71000000,000004197,9201
SEDEX SEDEX 3D  S VD,00245,71000000,000077364,9202
SEDEX SEDEX 3D  C VD,00246,71000000,000077348,9203
SEDEX CNPJ,00250,71000000,000075353,9204
SEDEX VIP,00260,71000000,000040037,9205
SEDEX SEDEX 12,00261,71000000,000040169,9206
SEDEX SDX 04162  VAREJO,00262,71000000,000004162,9207
SEDEX SDX 04316  INDUSTR,00263,71000000,000004316,9208
SEDEX SDX 04189  PGNE,00264,71000000,000004189,9209
SEDEX PRE FRANQUEADO,00299,71000000,<blank>,9210
CARTA REGISTRADA COMERCIAL,00500,71000000,000010014,9212
CARTA REGISTRADA NAO COM AVISTA SFR,00501,71000000,000012505,9213
CARTA REGISTRADA CARTA COMER FATURA,00502,71000000,000010707,9214
CARTA REGISTRADA CARTA COMER FATURA,00503,71000000,000012556,9215
CARTA REGISTRADA NAO COMERCIAL,00511,71000000,000010030,9216
CARTA SIMPLES CARTA SIMPLES FATUR,00600,71000000,000010715,9217
CARTA SIMPLES COMERCIAL,00601,71000000,<blank>,9218
CARTA SIMPLES NAO COMERCIAL,00602,71000000,<blank>,9219
IMPRESSO REGISTRADO IMPRESSO REGISTRADO,00700,71000000,000020010,9220
IMPRESSO REGISTRADO NORMAL A VISTA,00701,71000000,000020362,9221
IMPRESSO REGISTRADO MODICO,00711,71000000,000020010,9222
IMPRESSO REGISTRADO ESPECIAL,00722,71000000,000020222,9223
IMPRESSO SIMPLES,00800,71000000,<blank>,9224
IMPRESSO MALA DIRETA,00801,71000000,<blank>,9225
CARNE DO BAU  SERV VENDA (SERVICO),00901,71000000,000055484,9226
CARNE DO BAU  SERV PRESTACOES,00909,71000000,000005460,9227
CADASTRAMENTO DO CPF,01000,71000000,000075477,9228
CADASTRAMENTO DECL ISENTO REG,01002,71000000,000005479,9229
CADASTRAMENTO FCPF ISENTO,01003,71000000,<blank>,9230
COUPON REPONSE VENDA CUPON REPONSE,01100,71000000,749900547,9231
TELEGRAMA NACIONAL SIMPLES,01300,71000000,000060020,9232
TELEGRAMA NACIONAL SIMPLES,01301,71000000,000060070,9233
TELEGRAMA NACIONAL URGENTE,01311,71000000,000060011,9234
TELEGRAMA NACIONAL POR FOLHA,01315,71000000,000060011,9235
TELEGRAMA NACIONAL COPIA DE TELEGRAMA,01320,71000000,000060070,9236
TELEGRAMA NACIONAL PEDIDO DE CONFIRMAC,01321,71000000,000060070,9237
RECEB DIVERSOS IRPF2007,01401,71000000,000075418,9238
RECEB DIVERSOS TAXA MIGRACAO,01402,71000000,000005495,9239
RECEB DIVERSOS IRPF2010,01403,71000000,000075418,9240
RECEB DIVERSOS TRIBUTOS PMSP,01404,71000000,000042340,9241
RECEB DIVERSOS SISTECARD  2VIA,01406,71000000,000005460,9242
RECEB DIVERSOS INSC SELECAO NAC,01407,71000000,000005347,9243
RECEB DIVERSOS INSSANALISTA PREV,01408,71000000,004107586,9244
RECEB DIVERSOS INSSTECNICO PREVID,01409,71000000,004107594,9245
RECEB DIVERSOS INSSPERITO MEDICO,01410,71000000,004107543,9246
RECEB DIVERSOS HOSPITAL DO CANCER,01411,71000000,000005460,9247
RECEB DIVERSOS IRPF09,01412,71000000,000075418,9248
RECEB DIVERSOS JUROS,01413,71000000,000054810,9249
RECEB DIVERSOS ACF INADIMPLENTE RE,01414,71000000,000054305,9250
RECEB DIVERSOS REG DE OBJ COB A,01415,71000000,000055565,9251
RECEB DIVERSOS TAXA ANUAL DE FRANQ,01416,71000000,000054461,9252
RECEB DIVERSOS VENDA DE TELE SENA,01417,71000000,000054194,9253
RECEB DIVERSOS CONFECCOES DE ETIQU,01418,71000000,<blank>,9254
RECEB DIVERSOS MULTA,01419,71000000,000054860,9255
RECEB DIVERSOS ACERTO DE VP A MENO,01420,71000000,000041343,9256
RECEB DIVERSOS ACERTO VP PG A MAIO,01421,71000000,000041319,9257
RECEB DIVERSOS CONFECCOES DE ETIQU,01422,71000000,<blank>,9258
RECEB DIVERSOS ITR2011,01423,71000000,000075400,9259
RECEB DIVERSOS TERMO SOLIC SELO,01424,71000000,000075884,9260
RECEB DIVERSOS REG DE OBJ NAO CO,01425,71000000,000055549,9261
RECEB DIVERSOS TAXA ENEM2006,01440,71000000,000005495,9262
RECEB DIVERSOS ENEM2008PAGA PRIV,01441,71000000,000005347,9263
RECEB DIVERSOS ENEM08 REDE PUBL,01442,71000000,000005347,9264
RECEB DIVERSOS ENEM REDE PRIVA08,01443,71000000,000005347,9265
RECEB DIVERSOS ENEM08EGRESSOS PG,01444,71000000,000005347,9266
RECEB DIVERSOS ENEM ISENCAOEGR08,01445,71000000,000005347,9267
RECEB DIVERSOS FETAEG,01467,71000000,000005495,9268
RECEB DIVERSOS RECOLTX MERC ECOM,01468,71000000,000054771,9269
RECEB DIVERSOS RECEB DE NUMERARIO,01470,71000000,000002860,9270
RECEB DIVERSOS CDI,01471,71000000,000054739,9271
RECEB DIVERSOS ACF INADIMPLENTE,01472,71000000,<blank>,9272
RECEB DIVERSOS BAIXA CONTABIL,01473,71000000,000057053,9273
RECEB DIVERSOS OUTROS CREDORES DIV,01474,71000000,000054038,9274
RECEB DIVERSOS INDENIZACAO POR EXT,01490,71000000,000054143,9275
RECEB DIVERSOS ATUALIZACAO MONETAR,01491,71000000,000000779,9276
RECEB DIVERSOS CEV OCD,01492,71000000,000001325,9277
RECEB DIVERSOS FGTS  ENTRADA,01493,71000000,000059102,9278
RECEB DIVERSOS DESPESAS RECUPERADA,01494,71000000,000054313,9279
RECEB DIVERSOS RECOLHIMENTO A MENO,01495,71000000,<blank>,9280
RECEB DIVERSOS PREMIO CARNE BAU,01496,71000000,000006769,9281
RECEB DIVERSOS DEVOLUCAO DE COMISS,01497,71000000,000054909,9282
RECEB DIVERSOS DIFERENCA DE COMISS,01498,71000000,<blank>,9283
RECEB DIVERSOS RECOLHIMENTO A MAI,01499,71000000,000054569,9284
VALE POSTAL EMISSAO,01500,71000000,000049042,9285
VALE POSTAL EMISSAO AVON,01501,71000000,000049050,9286
VALE POSTAL PAGAMENTO SC,01511,71000000,000091456,9287
VALE POSTAL PAGAMENTO NACIONAL,01512,71000000,000091430,9288
REEMBOLSO POSTAL EMISSAO,01702,71000000,000043036,9289
SELOS ESTAMPADOS,02000,71000000,000009989,9290
SELO RS110 LENDA FOLCLO,02100,71000000,852008821,9291
SELO RS 001,02101,71000000,851001254,9292
SELO 150 OBRA DESAPAREC,02102,71000000,851001378,9293

