descri,codigo,cod_sto,cod_correio,nr_registro
SELOS ESTAMPADOS,02000,20909756,000057037,2941492
SELO HOMEN ZILDA ARNS,02101,20909756,852008511,2941494
SELO 235 REL BRASRUSSI,02102,20909756,852008120,2941495
SELO TABAQUE 001,02103,20909756,851001254,2941496
SELO COML GUIRLANDA 105,02104,20909756,852008317,2941497
SELO PIPOQUEIRO RS001,02105,20909756,851001254,2941498
SELO BARBEIRO 060,02106,20909756,851001424,2941499
SELO 235 ESP RDIP TAI,02107,20909756,852008074,2941500
SELO COSTUREIRA 005,02108,20909756,851001440,2941501
SELO PRESEPIO ANA RECH,02109,20909756,852008309,2941502
SELO TROMPETE 010,02110,20909756,851001297,2941503
SELO 070 CORRIDA REISM,02111,20909756,852008392,2941504
SELO 235 BEIRUTCAP M L,02112,20909756,852008040,2941505
SELO COML CEM CHICO XAV,02113,20909756,852008368,2941506
SELO CAL CHINES BOI 235,02114,20909756,852007914,2941508
SELO REM EXPR SEDEX 075,02115,20909756,851001483,2941509
SELO 105 HOM PETER LUND,02116,20909756,852008562,2941510
SELO CARTAS BOLETO,02117,20909756,<blank>,2941511
SELO ROSARIOBENEDI 110,02118,20909756,852008457,2941512
SELO FESTA DIV PAI 070,02119,20909756,852008538,2941513
SELO 255 ESP COPA 2010,02120,20909756,852008597,2941514
SELO 200 JG CISMRIO2011,02121,20909756,852008520,2941515
SELO 200 ESP BRAS SIRIA,02122,20909756,852008546,2941516
SELO ORD 100 COM E EMOC,02123,20909756,851001246,2941517
SELO 1PORTE COML MALOTE,02124,20909756,851001491,2941518
SELO 105 ESP V PARANAPI,02125,20909756,852008619,2941519
SELO 105 MIN TRANS 50A,02126,20909756,852008643,2941520
SELO 105 150A MIN AGRIC,02127,20909756,852008490,2941521
SELO 200 ESP PLANT TEXT,02128,20909756,852008589,2941522
SELO RS 045,02129,20909756,851001289,2941523
SELO 105 ESP BRAS EGITO,02130,20909756,852008635,2941524
SELO 200 MORCEGOS BRASI,02131,20909756,852008465,2941525
SELO 105 ESP SIMB NAC,02132,20909756,852008678,2941526
SELO 100 S AMERICA JG P,02133,20909756,852008260,2941527
SELO 105 ESP BRAS ZAMBI,02134,20909756,852008627,2941539
SELO 440 LENDA FOLCLORE,02135,20909756,852008821,2941540
SELO 200 ESP HOM P LULA,02136,20909756,852008805,2941541
SELO 185 CENT P GRACIND,02137,20909756,852008970,2941563
SELO SELO RS 019,02138,20909756,<blank>,2941564
SELO ORD CARTA SOCIAL,02139,20909756,851001505,2941565
SELO 100A TEATRO MUN,02140,20909756,852009003,2941566
SELO 074 PARINTINS,02141,20909756,852006772,2941567
SELO BL 1080 ESP ARV BR,02142,20909756,852100817,2941568
SELO SELO 1P NAT 2011 BL,02143,20909756,852009011,2941569
SELO SELO 1P N NAT 11 VL,02144,20909756,852009020,2941572
SELO 1P COM CA PREV AIDS,02145,20909756,852009127,2941573
SELO 200 CAIXA CORREIO,02146,20909756,852009070,2941574
SELO SELO FAM REAL 200,02147,20909756,852007655,2941575
SELO SELO 1 P COM BB,02148,20909756,852007663,2941576
SELO SELO 1 P 200 ANOS,02149,20909756,852007671,2941577
SELO 050,02150,20909756,852006985,2941528
SELO 190,02151,20909756,852007256,2941529
SELO RS 215,02152,20909756,<blank>,2941530
SELO RS 240,02153,20909756,<blank>,2941531
SELO RS 265,02154,20909756,<blank>,2941532
SELO 1P COML HEROIS NAC,02155,20909756,852007760,2941533
SELO RS 315,02156,20909756,<blank>,2941534
SELO RS 125,02157,20909756,<blank>,2941535
SELO RS 140,02158,20909756,<blank>,2941536
SELO 1P COM 200A FUZ NA,02159,20909756,852007728,2941537
SELO RS 300,02160,20909756,<blank>,2941538
SELO RS 074,02161,20909756,<blank>,2941542
SELO RS 095,02162,20909756,<blank>,2941543
SELO RS 150,02163,20909756,<blank>,2941544
SELO 200A JUSTICA 090,02164,20909756,852007698,2941545

