idxItmPro,idxProCol,CodSto,CodUsr,DtaItmPro,StsItmPro,QtdItmPro,ObsItmPro,VdcItmPro,DscItmPro,QarItmPro
27,8,50904175,001560000,2016-08-10 12:38:55,1,1,NULL,NULL,SEDEX,0
28,9,50904175,001560000,2016-08-11 16:21:19,1,11,NULL,NULL,SEDEX A Cobrar,0
29,9,50904175,001560000,2016-08-11 16:21:19,1,44,NULL,NULL,e-SEDEX,0
30,9,50904175,001560000,2016-08-11 16:21:19,1,0,NULL,NULL,PAC Grandes Formatos,22
31,9,50904175,001560000,2016-08-11 16:21:19,1,22,NULL,NULL,Mercadoria Inter. Econômico,0
38,13,50905571,002400000,2016-12-14 10:49:38,1,9,NULL,0,SEDEX,0
39,14,50905805,005810000,2016-12-14 14:07:41,1,1,NULL,60,Mercadoria Inter. Econômico,0
40,15,00235514,001980000,2017-02-23 10:57:28,1,1,NULL,0,Impresso Módico,0
41,16,50905376,304640000,2017-06-01 17:00:41,1,1,NULL,0,SEDEX,0
42,16,50905376,304640000,2017-06-01 17:00:41,1,1,NULL,0,PAC,0
43,17,00235514,002770000,2017-06-06 08:41:53,1,1,NULL,0,PAC,0
44,18,00424577,004620000,2017-07-05 09:24:51,1,1,NULL,0,SEDEX,0
45,19,00424577,004620000,2017-07-05 09:58:18,1,0,NULL,0,SEDEX,5
46,20,00424577,004620000,2017-07-05 10:00:37,1,0,NULL,0,SEDEX A Cobrar,4
47,21,00424577,004620000,2017-07-05 11:12:03,1,1,NULL,0,SEDEX,0
48,22,00424577,004620000,2017-07-05 11:18:30,1,2,NULL,0,SEDEX,0
49,23,00424577,004620000,2017-07-05 11:19:28,1,1,NULL,0,PAC Grandes Formatos,0
50,24,00424577,004620000,2017-07-05 11:23:10,1,1,NULL,0,e-SEDEX,0
51,25,00424577,004620000,2017-07-05 11:24:05,1,1,NULL,0,SEDEX,0
52,26,00424577,004620000,2017-07-05 11:24:34,1,1,NULL,0,SEDEX Hoje,0
53,27,00424577,004620000,2017-07-05 11:25:27,1,1,NULL,0,Impresso,0
54,28,00424577,010430000,2017-07-06 13:46:41,1,0,NULL,0,SEDEX 10,1
55,29,00424577,004620000,2017-07-10 13:27:32,1,0,NULL,0,SEDEX,1
56,30,00424577,004620000,2017-07-10 13:35:30,1,0,NULL,0,SEDEX,1
57,31,00424577,004620000,2017-07-10 13:44:33,1,0,NULL,0,Carta Registrada,1
58,32,00424577,004620000,2017-07-10 13:54:37,1,0,NULL,0,Carta Registrada,1
59,33,00424577,004620000,2017-07-12 10:22:39,1,0,NULL,0,SEDEX,1
60,34,00424577,004620000,2017-07-12 10:30:02,1,0,NULL,0,Carta Registrada,3
61,35,00424577,004620000,2017-07-12 10:41:11,1,0,NULL,0,SEDEX,7
62,36,00424577,004620000,2017-07-14 13:56:28,1,0,NULL,0,SEDEX,1
63,37,00424577,004620000,2017-07-17 13:26:53,1,0,NULL,0,Carta Registrada,2
64,38,00424577,004620000,2017-07-17 13:33:39,1,0,NULL,0,SEDEX,7
65,39,00424577,004620000,2017-07-19 14:03:58,1,1,NULL,0,SEDEX,0
66,40,00424577,004620000,2017-07-20 13:47:43,1,1,NULL,0,SEDEX 10,0
67,41,00424577,004620000,2017-07-21 13:43:19,1,1,NULL,0,SEDEX,0
68,42,00424577,004620000,2017-07-21 13:53:27,1,0,NULL,0,SEDEX,2
69,43,00424577,004620000,2017-07-24 13:37:53,1,0,NULL,0,Carta Registrada,3
70,44,00424577,004620000,2017-07-25 13:32:46,1,0,NULL,0,SEDEX,10
71,45,00424577,004620000,2017-07-26 13:43:23,1,0,NULL,0,Carta Registrada,1
72,46,00424577,004620000,2017-07-26 13:58:27,1,2,NULL,0,SEDEX,0
73,47,00424577,004620000,2017-07-27 13:41:13,1,1,NULL,0,SEDEX 10,0
74,48,00424577,004620000,2017-07-28 12:21:41,1,0,NULL,0,SEDEX,1
75,49,00424577,004620000,2017-07-28 12:25:31,1,0,NULL,0,SEDEX,1
76,50,00424577,004620000,2017-07-28 12:30:13,1,0,NULL,0,SEDEX,1
77,51,00424577,004620000,2017-07-28 12:31:44,1,0,NULL,0,SEDEX,1
78,52,00424577,004620000,2017-07-28 12:38:35,1,0,NULL,0,SEDEX 10,1
79,53,00424577,004620000,2017-07-28 12:43:58,1,1,NULL,0,SEDEX,0
80,54,00424577,004620000,2017-07-28 12:46:07,1,1,NULL,0,SEDEX 10,0
81,55,00424577,004620000,2017-08-01 13:54:09,1,0,NULL,0,SEDEX,2
82,56,00424577,004620000,2017-08-01 13:57:02,1,1,NULL,0,Carta Registrada,0
83,57,00424577,004620000,2017-08-01 13:59:25,1,1,NULL,0,SEDEX,0
84,58,00424577,004620000,2017-08-01 14:02:17,1,1,NULL,0,SEDEX 10,0
85,59,00424577,004620000,2017-08-02 13:35:57,1,0,NULL,0,SEDEX,1
86,60,00424577,004620000,2017-08-02 13:42:23,1,0,NULL,0,Carta Registrada,1
87,61,00424577,004620000,2017-08-03 13:49:21,1,1,NULL,0,Carta Registrada,0
88,62,00424577,004620000,2017-08-03 13:52:27,1,0,NULL,0,Carta Registrada,1
89,63,00424577,004620000,2017-08-04 13:32:31,1,0,NULL,0,Carta Registrada,1
90,64,00424577,004620000,2017-08-04 14:03:50,1,1,NULL,0,SEDEX 10,0
91,65,00424577,004620000,2017-08-08 13:13:09,1,0,NULL,0,SEDEX,1
92,66,00424577,004620000,2017-08-08 13:37:58,1,1,NULL,0,SEDEX A Cobrar,0
93,67,00424577,004620000,2017-08-08 13:38:52,1,1,NULL,0,SEDEX 10,0
94,68,00424577,004620000,2017-08-10 13:16:23,1,0,NULL,0,SEDEX,1
95,69,00424577,004620000,2017-08-10 13:22:41,1,0,NULL,0,SEDEX 10,3
96,70,00424577,004620000,2017-08-10 13:42:30,1,1,NULL,0,SEDEX 10,0
97,71,00424577,004620000,2017-08-11 13:35:14,1,0,NULL,0,SEDEX,1
98,72,00424577,004620000,2017-08-15 13:18:38,1,0,NULL,0,Carta Registrada,2
99,73,00424577,004620000,2017-08-15 13:22:46,1,0,NULL,0,Carta Registrada,1
100,74,00424577,004620000,2017-08-16 13:11:26,1,1,NULL,0,SEDEX,0
101,75,00424577,004620000,2017-08-16 13:24:54,1,1,NULL,0,Carta Simples,0
102,76,00424577,010430000,2017-08-16 15:45:53,1,1,NULL,0,SEDEX,0
103,77,00424577,004620000,2017-08-18 13:36:50,1,0,NULL,0,SEDEX,2
104,78,00424577,010430000,2017-08-18 14:04:19,1,1,NULL,0,SEDEX A Cobrar,0
105,79,50905571,031820000,2017-08-23 11:05:36,1,1,NULL,3605,SEDEX,0
106,80,00424577,004620000,2017-08-24 13:39:56,1,0,NULL,0,SEDEX A Cobrar,1
107,81,00424577,004620000,2017-08-24 13:41:20,1,0,NULL,0,SEDEX 10,1
108,82,00424577,010430000,2017-08-25 13:47:39,1,1,NULL,0,SEDEX 10,0
109,83,00424577,010430000,2017-08-28 13:50:59,1,1,NULL,0,Carta Simples,0
110,84,00424577,004620000,2017-08-31 13:17:06,1,1,NULL,0,SEDEX,0
111,85,00424577,004620000,2017-09-01 13:27:32,1,0,NULL,0,SEDEX 10,1
112,86,00424577,004620000,2017-09-05 13:53:18,1,1,NULL,0,Carta Registrada,0
113,87,00424577,004620000,2017-09-06 13:25:17,1,0,NULL,0,SEDEX,3
114,88,00424577,004620000,2017-09-08 13:26:34,1,1,NULL,0,SEDEX 10,0
115,89,00424577,004620000,2017-09-08 13:31:35,1,0,NULL,0,SEDEX,1
116,90,00424577,004620000,2017-09-08 13:34:27,1,0,NULL,0,SEDEX,1
117,91,00424577,004620000,2017-09-08 13:52:58,1,1,NULL,0,Carta Simples,0
118,92,00424577,004620000,2017-09-11 13:39:40,1,0,NULL,0,Carta Registrada,1
119,93,00424577,004620000,2017-09-12 13:40:40,1,0,NULL,0,SEDEX 10,2
120,93,00424577,004620000,2017-09-12 13:40:40,1,0,NULL,0,Carta Registrada,1
121,94,00424577,010430000,2017-09-13 13:15:49,1,1,NULL,0,SEDEX Hoje,0
123,96,00424577,004620000,2017-09-13 13:22:53,1,1,NULL,0,Carta Registrada,0
124,97,00424577,010430000,2017-09-14 13:54:38,1,1,NULL,0,Carta Simples,0
125,98,00424577,010430000,2017-09-18 13:44:32,1,1,NULL,0,Carta Simples,0
126,99,00424577,004620000,2017-09-19 13:46:20,1,0,NULL,0,SEDEX 10,1
127,100,00424577,010430000,2017-09-22 13:33:31,1,1,NULL,0,Carta Simples,0
128,101,00424577,004620000,2017-09-22 13:39:58,1,0,NULL,0,SEDEX 10,2
129,101,00424577,004620000,2017-09-22 13:39:58,1,0,NULL,0,Carta Registrada,1
130,102,00424577,004620000,2017-09-26 12:00:49,1,0,NULL,0,SEDEX 10,2
131,103,00424577,010430000,2017-09-27 14:05:25,1,1,NULL,0,SEDEX,0
132,104,00424577,004620000,2017-09-28 13:40:05,1,0,NULL,0,SEDEX,2
133,105,00424577,004620000,2017-09-28 13:42:52,1,0,NULL,0,SEDEX,1
134,106,00424577,010430000,2017-09-28 13:51:45,1,1,NULL,0,SEDEX,0
135,107,00424577,010430000,2017-09-28 13:54:23,1,1,NULL,0,SEDEX,0
138,110,00424577,004620000,2017-10-05 13:34:17,1,0,NULL,0,SEDEX 10,2

