cidade,unidade_cedente,m5,m4,m7,m6,m1,m3,m2,m9,m8,cgc,cep,qtde,valor,linha,moeda,juros,multa,sacado,bairro,aceite,estado,cod_sto,agencia,cod_bar,cedente,num_fat,especie,sacador,carteira,nosso_nr,avalista,endereco,uso_banco,cod_banco,nome_banco,cod_sacado,nr_registro,cgc_cedente,cod_cedente,vl_adicional,nr_documento,vlr_documento,dt_vencimento,dt_processamento
BELO HORIZONTE,<blank>,<blank>,<blank>,<blank>,<blank>,APÓS O VENCIMENTO SOMENTE NO BANCO DO BRASIL,NÃO RECEBER COM DESCONTO - SUJEITO A PROTESTO,"COBRAR 2% DE MULTA E JUROS 0,3% AO DIA.",<blank>,<blank>,10.687.865/0001-21,30160-042,<blank>,<blank>,00190.00009  01423.110004  00001.738178  1  64700000003670,DM,<blank>,<blank>,SCBF-BH ADVOGADOS,LOURDES,N,MG,50905376,02658,00191647000000036700000001423110000000173817,SAO LUIZ GONZAGA CORREIOS LTDA.,8622,R$,<blank>,17/019,14231100000001738,<blank>,RUA  RIO DE JANEIRO 2702 ,<blank>,001-9,BANCO DO BRASIL,300080000,27173941,73.928.830/0001-57,0265-8/200926-9,<blank>,1738,36.7,2015-06-25 00:00:00,2015-06-15 00:00:00
BELO HORIZONTE,<blank>,<blank>,<blank>,<blank>,<blank>,APÓS O VENCIMENTO SOMENTE NO BANCO DO BRASIL,NÃO RECEBER COM DESCONTO - SUJEITO A PROTESTO,"COBRAR 2% DE MULTA E JUROS 0,3% AO DIA.",<blank>,<blank>,10.687.865/0001-21,30160-042,<blank>,<blank>,00190.00009  01423.110004  00001.738178  1  64700000003670,DM,<blank>,<blank>,SCBF-BH ADVOGADOS,LOURDES,N,MG,50905376,02658,00191647000000036700000001423110000000173817,SAO LUIZ GONZAGA CORREIOS LTDA.,8622,R$,<blank>,17/019,14231100000001738,<blank>,RUA  RIO DE JANEIRO 2702 ,<blank>,001-9,BANCO DO BRASIL,300080000,27173941,73.928.830/0001-57,0265-8/200926-9,<blank>,1738,36.7,2015-06-25 00:00:00,2015-06-15 00:00:00
BRASILIA,<blank>,<blank>,<blank>,<blank>,<blank>,APÓS O VENCIMENTO SOMENTE NO BANCO DO BRASIL,NÃO RECEBER COM DESCONTO - SUJEITO A PROTESTO,"COBRAR 2% DE MULTA E JUROS 0,3% AO DIA.",<blank>,<blank>,05.355.405/0001-66,70750-610,<blank>,<blank>,00190.00009  01423.110004  00002.438174  1  65360000054760,DM,<blank>,<blank>,IKHON GESTAO CONHECIMENTOS E TECNOLOGIA LTDA,ASA NORTE,N,DF,50905376,02658,00191653600000547600000001423110000000243817,SAO LUIZ GONZAGA CORREIOS LTDA.,0,R$,<blank>,17/019,14231100000002438,<blank>,SCRN 710/711 BLOCO A  ENTRADA 52 - 2 AND,<blank>,001-9,BANCO DO BRASIL,301890000,27174360,73.928.830/0001-57,0265-8/200926-9,<blank>,2438,547.6,2015-08-30 00:00:00,2015-08-17 00:00:00
BRASILIA,<blank>,<blank>,<blank>,<blank>,<blank>,APÓS O VENCIMENTO SOMENTE NO BANCO DO BRASIL,NÃO RECEBER COM DESCONTO - SUJEITO A PROTESTO,"COBRAR 2% DE MULTA E JUROS 0,3% AO DIA.",<blank>,<blank>,05.355.405/0001-66,70750-610,<blank>,<blank>,00190.00009  01423.110004  00002.438174  1  65360000054760,DM,<blank>,<blank>,IKHON GESTAO CONHECIMENTOS E TECNOLOGIA LTDA,ASA NORTE,N,DF,50905376,02658,00191653600000547600000001423110000000243817,SAO LUIZ GONZAGA CORREIOS LTDA.,0,R$,<blank>,17/019,14231100000002438,<blank>,SCRN 710/711 BLOCO A  ENTRADA 52 - 2 AND,<blank>,001-9,BANCO DO BRASIL,301890000,27174360,73.928.830/0001-57,0265-8/200926-9,<blank>,2438,547.6,2015-08-30 00:00:00,2015-08-17 00:00:00
BRASILIA,<blank>,<blank>,<blank>,<blank>,<blank>,APÓS O VENCIMENTO SOMENTE NO BANCO DO BRASIL,NÃO RECEBER COM DESCONTO - SUJEITO A PROTESTO,COBRAR 2% DE MULTA E JUROS 033% AO DIA.,<blank>,"COBRAR JUROS DIARIOS DE R$ 0,58",05.355.405/0001-66,70750-610,<blank>,<blank>,00190.00009  01423.110004  00003.861176  9  67200000017600,DM,<blank>,<blank>,IKHON GESTAO CONHECIMENTOS E TECNOLOGIA LTDA,ASA NORTE,N,DF,50905376,02658,00199672000000176000000001423110000000386117,SAO LUIZ GONZAGA CORREIOS LTDA.,0,R$,<blank>,17/019,14231100000003861,<blank>,SCRN 710/711 BLOCO A  ENTRADA 52 - 2 AND,<blank>,001-9,BANCO DO BRASIL,301890000,27175310,73.928.830/0001-57,0265-8/200926-9,<blank>,3861,176,2016-03-01 00:00:00,2016-02-16 00:00:00
BRASILIA,<blank>,<blank>,<blank>,<blank>,<blank>,APÓS O VENCIMENTO SOMENTE NO BANCO DO BRASIL,NÃO RECEBER COM DESCONTO - SUJEITO A PROTESTO,COBRAR 2% DE MULTA E JUROS 033% AO DIA.,<blank>,"COBRAR JUROS DIARIOS DE R$ 1,29",05.355.405/0001-66,70750-610,<blank>,<blank>,00190.00009  01423.110004  00003.728177  1  66890000039145,DM,<blank>,<blank>,IKHON GESTAO CONHECIMENTOS E TECNOLOGIA LTDA,ASA NORTE,N,DF,50905376,02658,00191668900000391450000001423110000000372817,SAO LUIZ GONZAGA CORREIOS LTDA.,0,R$,<blank>,17/019,14231100000003728,<blank>,SCRN 710/711 BLOCO A  ENTRADA 52 - 2 AND,<blank>,001-9,BANCO DO BRASIL,301890000,27175188,73.928.830/0001-57,0265-8/200926-9,<blank>,3728,391.45,2016-01-30 00:00:00,2016-01-18 00:00:00
BRASILIA,<blank>,<blank>,<blank>,<blank>,<blank>,APÓS O VENCIMENTO SOMENTE NO BANCO DO BRASIL,NÃO RECEBER COM DESCONTO - SUJEITO A PROTESTO,"COBRAR 2% DE MULTA E JUROS 0,3% AO DIA.",<blank>,<blank>,05.355.405/0001-66,70750-610,<blank>,<blank>,00190.00009  01423.110004  00001.686179  1  64750000024030,DM,<blank>,<blank>,IKHON GESTAO CONHECIMENTOS E TECNOLOGIA LTDA,ASA NORTE,N,DF,50905376,02658,00191647500000240300000001423110000000168617,SAO LUIZ GONZAGA CORREIOS LTDA.,8570,R$,<blank>,17/019,14231100000001686,<blank>,SCRN 710/711 BLOCO A  ENTRADA 52 - 2 AND,<blank>,001-9,BANCO DO BRASIL,301890000,27173894,73.928.830/0001-57,0265-8/200926-9,<blank>,1686,240.3,2015-06-30 00:00:00,2015-06-15 00:00:00
BRASILIA,<blank>,<blank>,<blank>,<blank>,<blank>,APÓS O VENCIMENTO SOMENTE NO BANCO DO BRASIL,NÃO RECEBER COM DESCONTO - SUJEITO A PROTESTO,"COBRAR 2% DE MULTA E JUROS 0,3% AO DIA.",<blank>,<blank>,05.355.405/0001-66,70750-610,<blank>,<blank>,00190.00009  01423.110004  00001.510171  8  64600000024030,DM,<blank>,<blank>,IKHON GESTAO CONHECIMENTOS E TECNOLOGIA LTDA,ASA NORTE,N,DF,50905376,02658,00198646000000240300000001423110000000151017,SAO LUIZ GONZAGA CORREIOS LTDA.,0,R$,<blank>,17/019,14231100000001510,<blank>,SCRN 710/711 BLOCO A  ENTRADA 52 - 2 AND,<blank>,001-9,BANCO DO BRASIL,301890000,27173731,73.928.830/0001-57,0265-8/200926-9,<blank>,1510,240.3,2015-06-15 00:00:00,2015-05-29 00:00:00
BRASILIA,<blank>,<blank>,<blank>,<blank>,<blank>,APÓS O VENCIMENTO SOMENTE NO BANCO DO BRASIL,NÃO RECEBER COM DESCONTO - SUJEITO A PROTESTO,COBRAR 2% DE MULTA E JUROS 033% AO DIA.,<blank>,"COBRAR JUROS DIARIOS DE R$ 1,76",05.355.405/0001-66,70750-610,<blank>,<blank>,00190.00009  01423.110004  00003.377173  7  66280000053215,DM,<blank>,<blank>,IKHON GESTAO CONHECIMENTOS E TECNOLOGIA LTDA,ASA NORTE,N,DF,50905376,02658,00197662800000532150000001423110000000337717,SAO LUIZ GONZAGA CORREIOS LTDA.,0,R$,<blank>,17/019,14231100000003377,<blank>,SCRN 710/711 BLOCO A  ENTRADA 52 - 2 AND,<blank>,001-9,BANCO DO BRASIL,301890000,27174858,73.928.830/0001-57,0265-8/200926-9,<blank>,3377,532.15,2015-11-30 00:00:00,2015-11-16 00:00:00
BRASILIA,<blank>,<blank>,<blank>,<blank>,<blank>,APÓS O VENCIMENTO SOMENTE NO BANCO DO BRASIL,NÃO RECEBER COM DESCONTO - SUJEITO A PROTESTO,"COBRAR 2% DE MULTA E JUROS 0,3% AO DIA.",<blank>,<blank>,05.355.405/0001-66,70750-610,<blank>,<blank>,00190.00009  01423.110004  00001.416171  3  64440000019490,DM,<blank>,<blank>,IKHON GESTAO CONHECIMENTOS E TECNOLOGIA LTDA,ASA NORTE,N,DF,50905376,02658,00193644400000194900000001423110000000141617,SAO LUIZ GONZAGA CORREIOS LTDA.,0,R$,<blank>,17/019,14231100000001416,<blank>,SCRN 710/711 BLOCO A  ENTRADA 52 - 2 AND,<blank>,001-9,BANCO DO BRASIL,301890000,27173643,73.928.830/0001-57,0265-8/200926-9,<blank>,1416,194.9,2015-05-30 00:00:00,2015-05-15 00:00:00

