IdxAtu,NomArq,IpxAtu,CpuNom,CodSto,DtaAtu
45,dne_file.zip,189.62.44.153,ADMINISTRATIVO,72900067,2017-04-05 17:36:20
46,dne_file.zip,179.214.179.13,SERVIDOR-VISUAL,22901001,2017-04-05 18:10:24
47,tar_file.zip,179.214.179.13,SERVIDOR-VISUAL,22901001,2017-04-05 18:10:35
48,dne_file.zip,179.214.179.13,SERVIDOR-VISUAL,22901001,2017-04-05 18:11:12
49,dne_file.zip,177.81.22.166,ADMIN03,72902426,2017-04-05 19:08:07
50,dne_file.zip,177.81.22.166,ADMIN03,72902426,2017-04-05 19:13:32
51,dne_file.zip,186.212.50.110,SERVIDOR1,68904240,2017-04-06 06:57:14
52,hlp_file.zip,186.212.50.110,SERVIDOR1,68904240,2017-04-06 06:57:15
53,dne_file.zip,152.250.57.144,SERVIDOR,74900137,2017-04-06 08:10:33
54,dne_file.zip,201.27.151.39,MICRO01,72906791,2017-04-06 08:17:36
55,tar_file.zip,201.27.151.39,MICRO01,72906791,2017-04-06 08:17:39
56,dne_file.zip,179.176.44.70,PEDROAUGUSTO-PC,50906003,2017-04-06 08:36:24
57,dne_file.zip,201.27.151.39,MICRO01,72906791,2017-04-06 08:38:11
58,dne_file.zip,177.99.236.210,AGFSERVIDOR,32900899,2017-04-06 08:42:08
59,tar_file.zip,177.99.236.210,AGFSERVIDOR,32900899,2017-04-06 08:42:09
60,dne_file.zip,177.99.236.210,AGFSERVIDOR,32900899,2017-04-06 08:43:41
61,dne_file.zip,191.8.169.78,SERVIDOR,74907140,2017-04-06 08:45:00
62,dne_file.zip,189.62.136.153,ACF2,72906481,2017-04-06 08:46:38
63,dne_file.zip,201.27.151.39,MICRO01,72906791,2017-04-06 08:54:50
64,dne_file.zip,201.27.151.39,MICRO01,72906791,2017-04-06 09:59:28
65,dne_file.zip,177.18.144.248,SERVER,00424243,2017-04-06 09:59:43
66,tar_file.zip,177.18.144.248,SERVER,00424243,2017-04-06 09:59:44
67,dne_file.zip,177.177.144.36,SERVIDOR,20900058,2017-04-06 10:15:48
68,dne_file.zip,201.80.228.108,SERVER,20909519,2017-04-06 10:33:11
69,dne_file.zip,201.27.84.71,ROSALIA,72900601,2017-04-06 11:03:26
70,tar_file.zip,201.27.84.71,ROSALIA,72900601,2017-04-06 11:03:29
71,dne_file.zip,201.27.84.71,ROSALIA,72900601,2017-04-06 11:06:09
72,dne_file.zip,179.234.161.10,FINANCEIRO-DECI,74907000,2017-04-06 11:09:16
73,dne_file.zip,191.34.109.75,SERVIDOR,22900756,2017-04-06 11:19:19
74,dne_file.zip,191.186.8.125,SERVIDOR,50901133,2017-04-06 11:20:43
75,cpn_file.zip,201.42.59.125,SPVS022,20910363,2017-04-06 11:24:51
76,dne_file.zip,201.42.59.125,SPVS022,20910363,2017-04-06 11:25:02
77,hlp_file.zip,201.42.59.125,SPVS022,20910363,2017-04-06 11:25:04
78,tar_file.zip,201.42.59.125,SPVS022,20910363,2017-04-06 11:25:04
79,dne_file.zip,191.186.8.125,BETH,50901133,2017-04-06 11:44:19
80,dne_file.zip,191.186.8.125,BETH,50901133,2017-04-06 11:45:46
81,dne_file.zip,191.186.8.125,BETH,50901133,2017-04-06 12:11:11
82,dne_file.zip,177.8.171.178,SERVIDOR,72900342,2017-04-06 12:40:19
83,cpn_file.zip,201.42.59.125,WVS013,72907258,2017-04-06 12:55:26
84,dne_file.zip,201.42.59.125,WVS013,72907258,2017-04-06 12:55:31
85,dne_file.zip,201.42.59.125,WVS013,72907258,2017-04-06 12:56:04
86,dne_file.zip,201.42.59.125,WVS013,72907258,2017-04-06 12:58:04
87,dne_file.zip,189.62.116.35,SCM009-PC,72901276,2017-04-06 13:15:24
88,tar_file.zip,189.62.116.35,SCM009-PC,72901276,2017-04-06 13:15:26
89,cpn_file.zip,201.42.59.125,SPVS002,72902124,2017-04-06 13:19:22
90,dne_file.zip,201.42.59.125,SPVS002,72902124,2017-04-06 13:19:39
91,hlp_file.zip,201.42.59.125,SPVS002,72902124,2017-04-06 13:19:42
92,tar_file.zip,201.42.59.125,SPVS002,72902124,2017-04-06 13:19:43
93,dne_file.zip,179.181.230.86,EVANY,00423890,2017-04-06 13:47:00
94,dne_file.zip,201.80.228.108,SERVER,20909519,2017-04-06 14:34:53
95,dne_file.zip,201.42.59.125,WVS013,72907258,2017-04-06 15:26:21
96,dne_file.zip,177.205.105.201,SERVIDOR,22900586,2017-04-06 15:26:31
97,dne_file.zip,201.42.59.125,WVS013,72907258,2017-04-06 15:26:54
98,dne_file.zip,177.205.105.201,SERVIDOR,22900586,2017-04-06 15:28:37
99,dne_file.zip,189.10.80.174,GERENCIA,10900934,2017-04-06 15:41:48
100,dne_file.zip,187.52.135.148,DANIEL-PC,68904843,2017-04-06 16:04:40
101,dne_file.zip,201.80.228.108,SERVER,20909519,2017-04-06 16:58:41
102,dne_file.zip,179.154.193.84,SERVIDOR,72900822,2017-04-06 18:09:33
103,vsp_file.zip,179.154.193.84,SERVIDOR,72900822,2017-04-06 18:09:33
104,dne_file.zip,177.18.193.41,COSTA,00424228,2017-04-06 18:17:37
105,tar_file.zip,177.18.193.41,COSTA,00424228,2017-04-06 18:17:38
106,vsp_file.zip,177.18.193.41,COSTA,00424228,2017-04-06 18:17:41
107,dne_file.zip,177.18.193.41,COSTA,00424228,2017-04-06 18:21:54
108,dne_file.zip,191.188.62.58,ROSALIA,72900601,2017-04-06 18:47:37
109,vsp_file.zip,191.188.62.58,ROSALIA,72900601,2017-04-06 18:47:42
110,dne_file.zip,191.186.8.125,SERVIDOR,50901133,2017-04-06 18:48:15
111,vsp_file.zip,191.186.8.125,SERVIDOR,50901133,2017-04-06 18:48:16
112,dne_file.zip,187.75.205.35,CAIXA01,74901991,2017-04-06 18:49:08
113,tar_file.zip,187.75.205.35,CAIXA01,74901991,2017-04-06 18:49:14
114,vsp_file.zip,187.75.205.35,CAIXA01,74901991,2017-04-06 18:49:24
115,dne_file.zip,187.10.244.42,PC,00424509,2017-04-06 18:56:33
116,tar_file.zip,187.10.244.42,PC,00424509,2017-04-06 18:56:35
117,vsp_file.zip,187.10.244.42,PC,00424509,2017-04-06 18:56:37
118,dne_file.zip,191.17.253.52,USUARIO-PC,72900750,2017-04-06 18:58:37
120,vsp_file.zip,191.17.253.52,USUARIO-PC,72900750,2017-04-06 18:58:52

