log_id,cod_sto,log_dta,log_tbl
357727,72902027,2016-01-04 09:51:47,cad_com
357728,00424465,2016-01-04 09:55:03,cad_ser
357729,00424465,2016-01-04 09:55:04,cad_com
357730,68904142,2016-01-04 10:01:28,cad_ser
357731,68904142,2016-01-04 10:01:31,cad_com
357732,32900236,2016-01-04 10:05:55,cad_ser
357733,32900236,2016-01-04 10:05:57,cad_com
357734,00424465,2016-01-04 10:10:49,cad_ser
357735,00424465,2016-01-04 10:10:50,cad_com
357736,50901117,2016-01-04 10:11:46,cad_ser
357737,50901117,2016-01-04 10:12:16,cad_com
357738,12900044,2016-01-04 10:28:04,cad_ser
357739,12900044,2016-01-04 10:28:47,cad_com
357740,50906712,2016-01-04 10:30:08,cad_ser
357741,50906712,2016-01-04 10:30:09,cad_com
357742,50906712,2016-01-04 10:31:37,cad_ser
357743,50906712,2016-01-04 10:31:38,cad_com
357744,32901071,2016-01-04 10:35:05,cad_ser
357745,32901071,2016-01-04 10:35:06,cad_com
357746,00424514,2016-01-04 10:37:00,cad_ser
357747,00424514,2016-01-04 10:37:01,cad_com
357748,64900096,2016-01-04 10:37:05,cad_ser
357749,64900096,2016-01-04 10:37:06,cad_com
357750,64900096,2016-01-04 10:37:39,cad_ser
357751,64900096,2016-01-04 10:37:50,cad_com
357752,32901071,2016-01-04 10:38:27,cad_ser
357753,32901071,2016-01-04 10:38:27,cad_com
357754,74907352,2016-01-04 10:47:31,cad_ser
357755,74907352,2016-01-04 10:47:33,cad_com
357756,74901991,2016-01-04 10:52:42,cad_ser
357757,74901991,2016-01-04 10:52:43,cad_com
357758,74901991,2016-01-04 10:54:27,cad_ser
357759,74901991,2016-01-04 10:54:29,cad_com
357760,74901991,2016-01-04 10:56:19,cad_ser
357761,74901991,2016-01-04 10:56:19,cad_com
357762,00000001,2016-01-04 10:59:22,cad_ser
357763,00000001,2016-01-04 10:59:23,cad_com
357764,00000001,2016-01-04 11:00:22,cad_ser
357765,00000001,2016-01-04 11:00:24,cad_com
357766,64900096,2016-01-04 11:02:18,cad_ser
357767,64900096,2016-01-04 11:02:19,cad_com
357768,00424425,2016-01-04 11:03:27,cad_ser
357769,00424425,2016-01-04 11:03:28,cad_com
357770,74901044,2016-01-04 11:10:33,cad_ser
357771,74901044,2016-01-04 11:10:34,cad_com
357772,20909519,2016-01-04 11:14:55,cad_ser
357773,20909519,2016-01-04 11:14:56,cad_com
357774,74901141,2016-01-04 11:15:38,cad_ser
357775,74901141,2016-01-04 11:15:40,cad_com
357776,74901141,2016-01-04 11:16:03,cad_ser
357777,20909519,2016-01-04 11:16:05,cad_ser
357778,74901141,2016-01-04 11:16:05,cad_com
357779,20909519,2016-01-04 11:16:05,cad_com
357780,00424772,2016-01-04 11:16:33,cad_ser
357781,74902237,2016-01-04 11:16:36,cad_ser
357782,74902237,2016-01-04 11:16:37,cad_com
357783,00424772,2016-01-04 11:17:06,cad_com
357784,74902237,2016-01-04 11:17:20,cad_ser
357785,74902237,2016-01-04 11:17:21,cad_com
357786,74901141,2016-01-04 11:18:04,cad_ser
357787,74901141,2016-01-04 11:18:06,cad_com
357788,20909519,2016-01-04 11:18:27,cad_ser
357789,20909519,2016-01-04 11:18:28,cad_com
357790,72902744,2016-01-04 11:22:52,cad_ser
357791,72902744,2016-01-04 11:22:53,cad_com
357792,20909519,2016-01-04 11:28:19,cad_ser
357793,20909519,2016-01-04 11:28:20,cad_com
357794,12900044,2016-01-04 11:31:03,cad_ser
357795,12900044,2016-01-04 11:31:46,cad_com
357796,72900741,2016-01-04 11:34:21,cad_ser
357797,72900741,2016-01-04 11:34:23,cad_com
357798,74902563,2016-01-04 11:35:14,cad_ser
357799,74902563,2016-01-04 11:35:16,cad_com
357800,12900044,2016-01-04 11:36:56,cad_ser
357801,12900044,2016-01-04 11:37:39,cad_com
357802,50906712,2016-01-04 11:38:04,cad_ser
357803,50906712,2016-01-04 11:38:06,cad_com
357804,72900148,2016-01-04 11:38:16,cad_ser
357805,72900148,2016-01-04 11:38:18,cad_com
357806,50900994,2016-01-04 11:38:30,cad_ser
357807,50900994,2016-01-04 11:38:32,cad_com
357808,20910851,2016-01-04 11:38:43,cad_ser
357809,20910851,2016-01-04 11:38:44,cad_com
357810,12900044,2016-01-04 11:42:53,cad_ser
357811,12900044,2016-01-04 11:43:34,cad_com
357812,30900093,2016-01-04 11:45:17,cad_ser
357813,30900093,2016-01-04 11:45:18,cad_com
357814,72900661,2016-01-04 11:45:27,cad_ser
357815,72900661,2016-01-04 11:45:46,cad_com
357816,20909519,2016-01-04 11:48:15,cad_ser
357817,20909519,2016-01-04 11:48:16,cad_com
357818,30900093,2016-01-04 11:48:24,cad_ser
357819,30900093,2016-01-04 11:48:25,cad_com
357820,30900093,2016-01-04 11:49:05,cad_ser
357821,30900093,2016-01-04 11:49:06,cad_com
357822,74901869,2016-01-04 11:49:41,cad_ser
357823,74901869,2016-01-04 11:49:44,cad_com
357824,20909519,2016-01-04 11:51:58,cad_ser
357825,20909519,2016-01-04 11:51:59,cad_com
357826,12900044,2016-01-04 11:54:12,cad_ser
357827,12900044,2016-01-04 11:54:28,cad_com
357828,20909811,2016-01-04 11:55:34,cad_ser
357829,20909811,2016-01-04 11:55:35,cad_com
357830,12900028,2016-01-04 12:02:45,cad_ser
357831,12900028,2016-01-04 12:02:46,cad_com
357832,20909535,2016-01-04 12:05:12,cad_ser
357833,20909535,2016-01-04 12:05:14,cad_com
357834,74901991,2016-01-04 12:07:38,cad_ser
357835,74901991,2016-01-04 12:07:42,cad_com
357836,74901044,2016-01-04 12:07:42,cad_ser
357837,74901044,2016-01-04 12:07:43,cad_com
357838,74901991,2016-01-04 12:08:01,cad_ser
357839,74901991,2016-01-04 12:08:05,cad_com
357840,50905864,2016-01-04 12:08:56,cad_ser
357841,50905864,2016-01-04 12:09:32,cad_com
357842,74901044,2016-01-04 12:09:52,cad_ser
357843,74901044,2016-01-04 12:09:53,cad_com
357844,12900231,2016-01-04 12:10:06,cad_ser
357846,20909489,2016-01-04 12:11:09,cad_ser
357847,20909489,2016-01-04 12:11:09,cad_com

