idRastreamento,RasDta,RasIpx
76,2016-12-05 11:54:30,187.11.217.71
77,2016-12-05 11:54:31,177.102.128.4
78,2016-12-05 11:54:32,201.55.162.82
79,2016-12-05 11:54:32,177.101.125.147
80,2016-12-05 11:54:33,187.72.108.209
81,2016-12-05 11:54:34,191.193.194.251
82,2016-12-05 11:54:35,179.104.111.23
83,2016-12-05 11:54:36,187.72.108.209
84,2016-12-05 11:54:37,187.38.135.83
85,2016-12-05 11:54:41,200.100.221.211
86,2016-12-05 11:54:41,201.55.169.214
87,2016-12-05 11:54:41,201.81.36.225
88,2016-12-05 11:54:41,177.96.150.107
89,2016-12-05 11:54:41,12.6.145.178
90,2016-12-05 11:54:42,177.205.22.75
91,2016-12-05 11:54:44,201.47.253.146
92,2016-12-05 11:54:44,186.232.248.130
93,2016-12-05 11:54:45,187.18.158.136
94,2016-12-05 11:54:46,200.199.84.6
95,2016-12-05 11:54:46,189.47.181.112
96,2016-12-05 11:54:46,201.55.169.18
97,2016-12-05 11:54:47,187.38.135.83
98,2016-12-05 11:54:48,177.103.221.233
99,2016-12-05 11:54:48,201.47.253.146
100,2016-12-05 11:54:49,187.17.166.41
101,2016-12-05 11:54:49,179.159.171.252
102,2016-12-05 11:54:49,187.72.108.209
103,2016-12-05 11:54:50,179.208.175.62
104,2016-12-05 11:54:51,177.205.193.37
105,2016-12-05 11:54:53,187.72.108.209
106,2016-12-05 11:54:53,189.84.112.234
107,2016-12-05 11:54:54,177.94.190.95
108,2016-12-05 11:54:55,177.159.72.204
109,2016-12-05 11:54:55,177.102.128.4
110,2016-12-05 11:54:57,191.193.194.251
111,2016-12-05 11:54:57,187.11.195.173
112,2016-12-05 11:54:57,200.186.16.250
113,2016-12-05 11:54:58,177.139.151.3
114,2016-12-05 11:55:00,187.255.251.249
115,2016-12-05 11:55:01,187.72.108.209
116,2016-12-05 11:55:03,187.38.135.83
117,2016-12-05 11:55:04,186.213.109.2
118,2016-12-05 11:55:05,179.104.111.23
119,2016-12-05 11:55:05,189.76.129.42
120,2016-12-05 11:55:07,179.104.43.163
121,2016-12-05 11:55:07,177.205.193.37
122,2016-12-05 11:55:07,187.72.108.209
123,2016-12-05 11:55:13,177.33.101.170
124,2016-12-05 11:55:13,189.44.79.235
125,2016-12-05 11:55:15,191.193.194.251
126,2016-12-05 11:55:15,186.203.1.69
127,2016-12-05 11:55:16,177.205.22.75
128,2016-12-05 11:55:17,189.76.129.42
129,2016-12-05 11:55:17,201.81.36.225
130,2016-12-05 11:55:18,189.79.53.157
131,2016-12-05 11:55:18,179.111.222.121
132,2016-12-05 11:55:19,189.15.14.11
133,2016-12-05 11:55:20,187.72.108.209
134,2016-12-05 11:55:20,189.108.78.2
135,2016-12-05 11:55:20,200.229.239.170
136,2016-12-05 11:55:20,179.208.175.62
137,2016-12-05 11:55:20,186.205.227.107
138,2016-12-05 11:55:23,201.81.36.225
139,2016-12-05 11:55:27,177.69.96.74
140,2016-12-05 11:55:28,186.215.223.58
141,2016-12-05 11:55:28,187.35.129.182
142,2016-12-05 11:55:28,177.18.203.135
143,2016-12-05 11:55:29,187.17.166.41
144,2016-12-05 11:55:29,201.52.208.9
145,2016-12-05 11:55:29,177.205.193.37
146,2016-12-05 11:55:30,177.40.196.82
147,2016-12-05 11:55:30,201.55.169.18
148,2016-12-05 11:55:31,177.159.87.104
149,2016-12-05 11:55:31,200.141.163.242
150,2016-12-05 11:55:33,177.34.172.28
151,2016-12-05 11:55:37,187.9.128.154
152,2016-12-05 11:55:37,179.157.236.193
153,2016-12-05 11:55:38,189.8.27.42
154,2016-12-05 11:55:39,189.114.243.15
155,2016-12-05 11:55:40,200.161.245.251
156,2016-12-05 11:55:41,187.75.165.16
157,2016-12-05 11:55:42,177.34.172.28
158,2016-12-05 11:55:43,191.178.138.212
159,2016-12-05 11:55:44,186.230.33.44
160,2016-12-05 11:55:44,186.204.206.106
161,2016-12-05 11:55:45,187.72.108.209
162,2016-12-05 11:55:45,200.161.245.251
163,2016-12-05 11:55:47,179.99.218.99
164,2016-12-05 11:55:48,179.190.25.122
165,2016-12-05 11:55:50,187.72.108.209
166,2016-12-05 11:55:52,201.6.125.80
167,2016-12-05 11:55:53,200.161.245.251
168,2016-12-05 11:55:55,187.72.108.209
169,2016-12-05 11:55:55,201.81.36.225
170,2016-12-05 11:55:57,177.67.90.210
171,2016-12-05 11:55:57,192.231.130.1
172,2016-12-05 11:55:57,177.141.247.184
173,2016-12-05 11:55:58,192.231.130.1
174,2016-12-05 11:55:59,192.231.130.1
175,2016-12-05 11:56:00,187.72.108.209
176,2016-12-05 11:56:01,187.35.29.221
177,2016-12-05 11:56:01,189.79.53.157
178,2016-12-05 11:56:02,186.205.227.107
179,2016-12-05 11:56:04,177.158.61.220
180,2016-12-05 11:56:04,191.181.183.189
181,2016-12-05 11:56:04,177.205.22.75
182,2016-12-05 11:56:05,179.208.175.62
183,2016-12-05 11:56:05,187.72.108.209
184,2016-12-05 11:56:07,179.190.25.122
185,2016-12-05 11:56:09,201.74.56.73
186,2016-12-05 11:56:11,201.91.141.2
187,2016-12-05 11:56:11,152.250.243.156
188,2016-12-05 11:56:15,177.102.141.154
189,2016-12-05 11:56:17,201.28.144.253
190,2016-12-05 11:56:18,186.203.209.64
191,2016-12-05 11:56:18,189.33.60.160
192,2016-12-05 11:56:18,187.126.217.116
193,2016-12-05 11:56:19,179.104.111.23
194,2016-12-05 11:56:20,187.17.166.41
195,2016-12-05 11:56:22,179.212.193.230
196,2016-12-05 11:56:25,152.254.205.41
197,2016-12-05 11:56:27,177.98.78.122
198,2016-12-05 11:56:27,187.35.216.74
199,2016-12-05 11:56:28,187.75.179.79
200,2016-12-05 11:56:28,191.241.237.242
201,2016-12-05 11:56:29,186.213.12.226
202,2016-12-05 11:56:31,179.190.25.122
203,2016-12-05 11:56:31,177.139.128.70
204,2016-12-05 11:56:33,187.18.158.136
205,2016-12-05 11:56:34,179.99.217.132
206,2016-12-05 11:56:35,179.104.43.163
207,2016-12-05 11:56:35,177.103.230.90
208,2016-12-05 11:56:36,200.161.245.251
209,2016-12-05 11:56:37,187.126.217.116
210,2016-12-05 11:56:38,201.6.125.80
211,2016-12-05 11:56:40,177.69.96.74
212,2016-12-05 11:56:43,179.190.25.122
213,2016-12-05 11:56:44,189.34.214.50
214,2016-12-05 11:56:46,200.184.130.35
215,2016-12-05 11:56:47,200.184.130.35
216,2016-12-05 11:56:48,177.103.221.233
217,2016-12-05 11:56:48,177.140.124.175
218,2016-12-05 11:56:48,187.107.110.61
219,2016-12-05 11:56:48,189.8.27.42
220,2016-12-05 11:56:48,186.204.206.106
221,2016-12-05 11:56:49,189.47.252.136
222,2016-12-05 11:56:50,189.44.214.88
223,2016-12-05 11:56:51,177.148.152.53
224,2016-12-05 11:56:51,187.72.108.209
225,2016-12-05 11:56:51,179.208.175.62
226,2016-12-05 11:56:56,179.212.193.230
227,2016-12-05 11:56:57,179.190.25.122
228,2016-12-05 11:56:58,177.205.22.75
229,2016-12-05 11:56:59,177.189.212.47
230,2016-12-05 11:57:01,177.18.203.135
231,2016-12-05 11:57:01,187.20.241.180
232,2016-12-05 11:57:03,201.81.36.225
233,2016-12-05 11:57:05,187.75.176.63
234,2016-12-05 11:57:06,191.193.194.251
235,2016-12-05 11:57:06,177.189.212.47
236,2016-12-05 11:57:06,177.69.96.74
237,2016-12-05 11:57:08,187.20.241.180
238,2016-12-05 11:57:11,179.190.25.122
239,2016-12-05 11:57:11,200.166.189.162
240,2016-12-05 11:57:15,200.229.239.170
241,2016-12-05 11:57:15,201.91.141.2
242,2016-12-05 11:57:17,177.182.136.176
243,2016-12-05 11:57:17,179.99.218.99
244,2016-12-05 11:57:17,179.99.218.99
245,2016-12-05 11:57:18,189.44.214.88
246,2016-12-05 11:57:20,179.190.25.122
247,2016-12-05 11:57:22,191.193.194.251
248,2016-12-05 11:57:23,186.213.12.226
249,2016-12-05 11:57:23,179.208.175.62
250,2016-12-05 11:57:27,201.48.59.129
251,2016-12-05 11:57:27,187.72.108.209

