ip,datal,datao,icone,cod_sto,usuario,ocorrencia,nr_registro
177.157.160.73,2019-02-04 10:53:45,2019-02-04 10:53:45,2,20909331,RAISSA,Apagou registros delete from dados where data between 2019-02-01 00:00:00 and 2019-02-04 23:59:59 an,150871
177.157.160.73,2019-02-04 10:53:44,2019-02-04 10:53:44,2,20909331,RAISSA,Executou DELETE FROM VpostContratos WHERE CODSTO=20909331,150870
177.157.160.73,2019-02-04 10:53:47,2019-02-04 10:53:47,2,20909331,RAISSA,Executou DELETE dados_fat.* FROM dados_fat INNER JOIN FATURAS ON FATURAS.num_fat = dados_fat.num_fat,150875
177.157.160.73,2019-02-04 10:53:45,2019-02-04 10:53:45,2,20909331,RAISSA,Apagou registros delete from dados where data between 2019-02-01 00:00:00 and 2019-02-04 23:59:59 an,150871
177.157.160.73,2019-02-04 10:53:46,2019-02-04 10:53:46,2,20909331,RAISSA,Executou DELETE FROM BOLETOS WHERE COD_STO=20909331,150873
177.157.160.73,2019-02-04 10:53:46,2019-02-04 10:53:46,2,20909331,RAISSA,Executou DELETE FROM FATURAS WHERE COD_STO=20909331 AND DAT_FAT BETWEEN 2019-02-01 AND 2019-02-04,150874
177.157.160.73,2019-02-04 18:05:11,2019-02-04 18:05:11,2,20909331,RAISSA,Executou DELETE FROM DIVERSOS WHERE COD_STO=20909331 AND DATA BETWEEN 2019-02-04 AND 2019-02-04,150911
177.157.160.73,2019-02-04 10:53:47,2019-02-04 10:53:47,2,20909331,RAISSA,Executou DELETE FROM DIVERSOS WHERE COD_STO=20909331 AND DATA BETWEEN 2019-02-01 AND 2019-02-04,150876
177.157.160.73,2019-02-04 10:53:35,2019-02-04 10:53:35,2,20909331,RAISSA,Executou DELETE FROM USUARIOS WHERE COD_STO=20909331,150868
177.157.160.73,2019-02-04 18:05:11,2019-02-04 18:05:11,2,20909331,RAISSA,Executou DELETE FROM oper_fat WHERE COD_STO=20909331,150913
177.157.160.73,2019-02-04 18:05:11,2019-02-04 18:05:11,2,20909331,RAISSA,Executou DELETE FROM FATURAS WHERE COD_STO=20909331 AND DAT_FAT BETWEEN 2019-02-04 AND 2019-02-04,150909
177.157.160.73,2019-02-04 18:04:59,2019-02-04 18:04:59,2,20909331,RAISSA,Executou DELETE FROM SECOES WHERE COD_STO=20909331,150904
177.157.160.73,2019-02-04 10:53:46,2019-02-04 10:53:46,2,20909331,RAISSA,Executou DELETE FROM FATURAS WHERE COD_STO=20909331 AND DAT_FAT BETWEEN 2019-02-01 AND 2019-02-04,150874
177.157.160.73,2019-02-04 10:53:47,2019-02-04 10:53:47,2,20909331,RAISSA,Executou DELETE FROM DIVERSOS WHERE COD_STO=20909331 AND DATA BETWEEN 2019-02-01 AND 2019-02-04,150876
177.157.160.73,2019-02-04 10:53:46,2019-02-04 10:53:46,2,20909331,RAISSA,Executou DELETE FROM BOLETOS WHERE COD_STO=20909331,150873
177.157.160.73,2019-02-04 10:53:44,2019-02-04 10:53:44,2,20909331,RAISSA,Executou DELETE FROM VpostContratos WHERE CODSTO=20909331,150870
177.157.160.73,2019-02-04 18:05:09,2019-02-04 18:05:09,2,20909331,RAISSA,Apagou registros delete from dados where data between 2019-02-04 00:00:00 and 2019-02-04 23:59:59 an,150906
177.157.160.73,2019-02-04 18:04:37,2019-02-04 18:04:37,1,20909331,raissa,Logon com sucesso,150902
177.157.160.73,2019-02-04 10:53:47,2019-02-04 10:53:47,2,20909331,RAISSA,Executou DELETE FROM DIVERSOS WHERE COD_STO=20909331 AND DATA BETWEEN 2019-02-01 AND 2019-02-04,150876
177.157.160.73,2019-02-04 10:53:46,2019-02-04 10:53:46,2,20909331,RAISSA,Executou DELETE FROM OPERACOES WHERE COD_STO=20909331,150872
177.157.160.73,2019-02-04 18:05:11,2019-02-04 18:05:11,2,20909331,RAISSA,Executou DELETE FROM FATURAS WHERE COD_STO=20909331 AND DAT_FAT BETWEEN 2019-02-04 AND 2019-02-04,150909
177.159.192.76,2019-02-14 12:58:41,2019-02-14 12:58:41,1,20909331,trippaventura,Logon com sucesso,151336
177.159.192.76,2019-02-14 12:58:41,2019-02-14 12:58:41,1,20909331,trippaventura,Logon com sucesso,151336
177.159.200.242,2019-02-18 09:41:59,2019-02-18 10:17:38,1,20909331,optivision,Logon com sucesso,151425
177.159.200.242,2019-02-18 09:41:59,2019-02-18 10:17:38,1,20909331,optivision,Logon com sucesso,151425
177.159.200.242,2019-02-18 09:41:59,2019-02-18 10:17:38,1,20909331,optivision,Logon com sucesso,151425
177.159.200.242,2019-03-07 08:27:24,2019-03-07 08:27:24,1,20909331,optivision,Logon com sucesso,152087
177.159.200.242,2019-03-07 08:27:24,2019-03-07 08:27:24,1,20909331,optivision,Logon com sucesso,152087
177.159.200.242,2019-02-19 08:24:19,2019-02-19 08:24:19,1,20909331,optivision,Logon com sucesso,151480
177.159.200.242,2019-02-14 10:44:46,2019-02-14 10:44:46,1,20909331,optivision,Logon com sucesso,151318
177.159.200.242,2019-03-07 08:27:24,2019-03-07 08:27:24,1,20909331,optivision,Logon com sucesso,152087
177.159.201.179,2018-12-26 11:09:40,2018-12-26 11:09:40,1,20909331,barroso,Logon com sucesso,149563
177.159.201.179,2019-01-16 13:13:01,2019-01-16 13:13:01,1,20909331,barroso,Logon com sucesso,150215
177.159.201.179,2018-12-21 09:26:04,2018-12-21 09:26:04,1,20909331,barroso,Logon com sucesso,149467
177.159.201.179,2018-12-17 11:40:32,2018-12-17 11:40:32,1,20909331,barroso,Logon com sucesso,149249
177.159.201.179,2018-12-12 11:18:14,2018-12-12 11:18:14,1,20909331,barroso,Logon com sucesso,149078
177.159.201.179,2019-01-08 09:47:09,2019-01-08 09:47:09,1,20909331,barroso,Logon com sucesso,149855
177.159.201.179,2019-01-08 09:47:09,2019-01-08 09:47:09,1,20909331,barroso,Logon com sucesso,149855
177.159.201.179,2018-12-17 11:40:32,2018-12-17 11:40:32,1,20909331,barroso,Logon com sucesso,149249
177.159.201.179,2019-01-09 10:42:27,2019-01-09 10:42:27,1,20909331,barroso,Logon com sucesso,149914
177.159.201.179,2019-01-10 10:03:06,2019-01-10 10:03:06,1,20909331,barroso,Logon com sucesso,149969
177.159.201.179,2019-01-10 10:03:06,2019-01-10 10:03:06,1,20909331,barroso,Logon com sucesso,149969
177.159.201.179,2019-01-10 10:03:06,2019-01-10 10:03:06,1,20909331,barroso,Logon com sucesso,149969
177.159.201.179,2019-01-09 17:59:05,2019-01-09 17:59:05,1,20909331,barroso,Logon com sucesso,149958
177.159.201.179,2019-02-18 18:01:36,2019-02-18 18:01:36,1,20909331,barroso,Logon com sucesso,151475
177.159.201.179,2019-02-18 18:04:29,2019-02-18 18:04:29,1,20909331,barroso,Logon com sucesso,151476
177.159.201.179,2019-02-20 12:32:47,2019-02-20 12:32:47,1,20909331,barroso,Logon com sucesso,151601
177.159.201.179,2019-01-25 15:04:15,2019-01-25 15:04:15,1,20909331,barroso,Logon com sucesso,150596
177.159.201.179,2018-12-19 11:50:59,2018-12-19 11:50:59,1,20909331,barroso,Logon com sucesso,149381
177.159.201.179,2019-02-20 12:32:47,2019-02-20 12:32:47,1,20909331,barroso,Logon com sucesso,151601
177.159.201.179,2019-02-20 16:53:15,2019-02-20 16:53:15,1,20909331,barroso,Logon com sucesso,151620
177.159.201.179,2019-02-20 16:53:15,2019-02-20 16:53:15,1,20909331,barroso,Logon com sucesso,151620
177.159.201.179,2019-02-20 16:53:15,2019-02-20 16:53:15,1,20909331,barroso,Logon com sucesso,151620
177.159.201.179,2019-02-21 11:09:41,2019-02-21 11:09:41,1,20909331,barroso,Logon com sucesso,151668
177.159.201.179,2018-12-17 11:40:32,2018-12-17 11:40:32,1,20909331,barroso,Logon com sucesso,149249
177.159.201.179,2018-12-17 11:40:32,2018-12-17 11:40:32,1,20909331,barroso,Logon com sucesso,149249
177.159.201.179,2019-01-09 10:59:10,2019-01-09 10:59:10,1,20909331,barroso,Logon com sucesso,149920
177.159.201.179,2018-12-17 11:40:32,2018-12-17 11:40:32,1,20909331,barroso,Logon com sucesso,149249
177.159.201.179,2019-01-09 17:59:05,2019-01-09 17:59:05,1,20909331,barroso,Logon com sucesso,149958
177.159.201.179,2019-02-20 12:32:47,2019-02-20 12:32:47,1,20909331,barroso,Logon com sucesso,151601
177.159.201.179,2018-12-19 11:50:59,2018-12-19 11:50:59,1,20909331,barroso,Logon com sucesso,149381
177.159.201.179,2019-01-09 10:59:10,2019-01-09 10:59:10,1,20909331,barroso,Logon com sucesso,149920
177.159.201.179,2018-12-19 11:50:59,2018-12-19 11:50:59,1,20909331,barroso,Logon com sucesso,149381
177.159.201.179,2019-02-19 17:28:24,2019-02-19 17:28:24,1,20909331,barroso,Logon com sucesso,151557
177.159.201.179,2019-01-16 13:13:01,2019-01-16 13:13:01,1,20909331,barroso,Logon com sucesso,150215
177.159.201.179,2019-03-06 16:25:12,2019-03-06 16:25:12,1,20909331,barroso,Logon com sucesso,152074
177.159.201.179,2019-02-20 16:53:15,2019-02-20 16:53:15,1,20909331,barroso,Logon com sucesso,151620
177.17.64.87,2019-02-08 11:39:47,2019-02-08 11:39:47,1,20909331,trippaventura,Logon com sucesso,151076
177.17.73.142,2019-01-02 10:11:08,2019-01-02 10:11:08,1,20909331,trippaventura,Logon com sucesso,149675
177.182.163.4,2019-02-22 11:56:49,2019-02-22 11:56:49,1,20909331,ferrara,Logon com sucesso,151755
177.182.163.4,2019-02-22 11:58:49,2019-02-22 11:58:49,1,20909331,ferrara,Logon com sucesso,151756
177.182.163.4,2019-02-22 11:59:44,2019-02-22 11:59:44,1,20909331,ferrara,Logon com sucesso,151757
177.182.163.4,2019-02-25 09:11:48,2019-02-25 09:11:48,1,20909331,ferrara,Logon com sucesso,151802
177.182.163.4,2019-02-22 11:56:49,2019-02-22 11:56:49,1,20909331,ferrara,Logon com sucesso,151755
177.182.163.4,2019-02-22 11:58:49,2019-02-22 11:58:49,1,20909331,ferrara,Logon com sucesso,151756
177.182.163.4,2019-02-25 09:11:48,2019-02-25 09:11:48,1,20909331,ferrara,Logon com sucesso,151802
177.182.163.4,2019-02-22 11:58:49,2019-02-22 11:58:49,1,20909331,ferrara,Logon com sucesso,151756
177.182.163.4,2019-02-22 11:59:44,2019-02-22 11:59:44,1,20909331,ferrara,Logon com sucesso,151757
177.182.163.4,2019-02-22 11:59:44,2019-02-22 11:59:44,1,20909331,ferrara,Logon com sucesso,151757
177.182.163.4,2019-02-01 10:52:31,2019-02-01 10:52:31,1,20909331,ferrara,Logon com sucesso,150821
177.182.163.4,2019-02-25 11:58:13,2019-02-25 11:58:13,1,20909331,ferrara,Logon com sucesso,151831
177.182.163.4,2019-02-20 13:19:35,2019-02-20 13:19:35,1,20909331,ferrara,Logon com sucesso,151605
177.182.163.4,2019-02-22 11:56:49,2019-02-22 11:56:49,1,20909331,ferrara,Logon com sucesso,151755
177.182.163.4,2019-02-22 11:58:49,2019-02-22 11:58:49,1,20909331,ferrara,Logon com sucesso,151756
177.182.163.4,2019-02-25 11:06:07,2019-02-25 11:06:07,1,20909331,ferrara,Logon com sucesso,151830
177.182.173.114,2019-01-04 11:23:02,2019-01-04 11:23:02,1,20909331,portalcell,Logon com sucesso,149770
177.182.173.114,2019-01-07 11:17:05,2019-01-07 11:17:05,1,20909331,portalcell,Logon com sucesso,149812
177.182.173.114,2019-01-08 09:38:30,2019-01-08 09:38:30,1,20909331,portalcell,Logon com sucesso,149853
177.182.173.114,2019-01-08 09:58:57,2019-01-08 09:58:57,1,20909331,portalcell,Logon com sucesso,149857

