NOME,CODIGO,COD_STO,INATIVO,SUBDIVISAO,nr_registro
ACEADMINISTRADORA DE CONDOMINIOS ESPECIALIZADA LTDA  ELIANA BOTELHO,00439,20909331,1,0067,52448351
ACEADMINISTRADORA DE CONDOMINIOS ESPECIALIZADA LTDA  ELIANA MACHADO,00439,20909331,1,0185,52448467
ACEADMINISTRADORA DE CONDOMINIOS ESPECIALIZADA LTDA  ELIANA MACHADO BOTELHO,00439,20909331,1,0173,52448455
ACEADMINISTRADORA DE CONDOMINIOS ESPECIALIZADA LTDA  ELIAS CARAM,00439,20909331,1,0153,52448435
ACEADMINISTRADORA DE CONDOMINIOS ESPECIALIZADA LTDA  ESTANCIA SAN PIETRO,00439,20909331,1,0183,52448465
ACEADMINISTRADORA DE CONDOMINIOS ESPECIALIZADA LTDA  ESTUDIOS CAPELINHA,00439,20909331,1,0142,52448424
ACEADMINISTRADORA DE CONDOMINIOS ESPECIALIZADA LTDA  EWALD VILELA,00439,20909331,1,0199,52448481
ACEADMINISTRADORA DE CONDOMINIOS ESPECIALIZADA LTDA  FERREIRA PASSOS,00439,20909331,1,0050,52448336
ACEADMINISTRADORA DE CONDOMINIOS ESPECIALIZADA LTDA  FERREIRA PSSOS,00439,20909331,1,0049,52448335
ACEADMINISTRADORA DE CONDOMINIOS ESPECIALIZADA LTDA  FLAVIA,00439,20909331,1,0122,52448404

