AtaqueId,AtaqueIp,AtaqueVlr,AtaqueDta,BloqueioDta,BloqueioMetodo
39,10.3.121.160,80 or 1=999999.,2018-04-22 00:00:00,2018-04-25 17:15:13,VPC da AWS
40,10.3.121.160,80 or 1=999999.,2018-04-22 00:00:00,2018-04-25 17:15:13,VPC da AWS
41,10.3.121.160,80 or 1=999999.,2018-04-22 00:00:00,2018-04-25 17:15:13,VPC da AWS
42,10.3.121.160,80 or 1=999999.,2018-04-22 00:00:00,2018-04-25 17:15:13,VPC da AWS
43,10.3.121.160,80 or 1=999999.,2018-04-22 00:00:00,2018-04-25 17:15:13,VPC da AWS
44,10.3.121.160,80 or 1=999999.,2018-04-22 00:00:00,2018-04-25 17:15:13,VPC da AWS
45,10.3.121.160,80 or 1=999999.,2018-04-22 00:00:00,2018-04-25 17:15:13,VPC da AWS
46,10.3.121.160,80 or 1=999999.,2018-04-22 00:00:00,2018-04-25 17:15:13,VPC da AWS
47,10.3.121.160,80 or 1=999999.,2018-04-22 00:00:00,2018-04-25 17:15:13,VPC da AWS
48,10.3.121.160,80 or 1=999999.,2018-04-22 00:00:00,2018-04-25 17:15:13,VPC da AWS
49,10.3.121.160,80 or 1=999999.,2018-04-22 00:00:00,2018-04-25 17:15:13,VPC da AWS
50,10.3.252.181,80 or 1=999999.,2018-04-22 00:00:00,2018-04-25 17:15:13,VPC da AWS
51,10.3.252.181,80 or 1=999999.,2018-04-22 00:00:00,2018-04-25 17:15:13,VPC da AWS
52,10.3.252.181,80 or 1=999999.,2018-04-22 00:00:00,2018-04-25 17:15:13,VPC da AWS
53,10.3.252.181,80 or 1=999999.,2018-04-22 00:00:00,2018-04-25 17:15:13,VPC da AWS
54,10.3.252.181,80 or 1=999999.,2018-04-22 00:00:00,2018-04-25 17:15:13,VPC da AWS
55,10.3.50.119,80 or 1=999999.,2018-04-22 00:00:00,2018-04-25 17:15:13,VPC da AWS
56,10.3.50.119,80 or 1=999999.,2018-04-22 00:00:00,2018-04-25 17:15:13,VPC da AWS
57,10.3.50.119,80 or 1=999999.,2018-04-22 00:00:00,2018-04-25 17:15:13,VPC da AWS
58,10.3.50.119,80 or 1=999999.,2018-04-22 00:00:00,2018-04-25 17:15:13,VPC da AWS
59,10.3.50.119,80 or 1=999999.,2018-04-22 00:00:00,2018-04-25 17:15:13,VPC da AWS
60,101.255.56.138,80 or 1=999999.,2018-04-22 00:00:00,2018-04-25 17:15:13,VPC da AWS
61,101.255.64.226,80 or 1=999999.,2018-04-22 00:00:00,2018-04-25 17:15:13,VPC da AWS
62,101.99.54.99,80 or 1=999999.,2018-04-22 00:00:00,2018-04-25 17:15:13,VPC da AWS
63,101.99.54.99,80 or 1=999999.,2018-04-22 00:00:00,2018-04-25 17:15:13,VPC da AWS
64,101.99.54.99,80 or 1=999999.,2018-04-22 00:00:00,2018-04-25 17:15:13,VPC da AWS
65,101.99.54.99,80 or 1=999999.,2018-04-22 00:00:00,2018-04-25 17:15:13,VPC da AWS
66,101.99.54.99,80 or 1=999999.,2018-04-22 00:00:00,2018-04-25 17:15:13,VPC da AWS
67,101.99.54.99,80 or 1=999999.,2018-04-22 00:00:00,2018-04-25 17:15:13,VPC da AWS
68,101.99.54.99,80 or 1=999999.,2018-04-22 00:00:00,2018-04-25 17:15:13,VPC da AWS
69,101.99.54.99,80 or 1=999999.,2018-04-22 00:00:00,2018-04-25 17:15:13,VPC da AWS
70,101.99.54.99,80 or 1=999999.,2018-04-22 00:00:00,2018-04-25 17:15:13,VPC da AWS
71,101.99.54.99,80 or 1=999999.,2018-04-22 00:00:00,2018-04-25 17:15:13,VPC da AWS
72,101.99.54.99,80 or 1=999999.,2018-04-22 00:00:00,2018-04-25 17:15:13,VPC da AWS
73,101.99.54.99,80 or 1=999999.,2018-04-22 00:00:00,2018-04-25 17:15:13,VPC da AWS
74,101.99.54.99,80 or 1=999999.,2018-04-22 00:00:00,2018-04-25 17:15:13,VPC da AWS
75,101.99.54.99,80 or 1=999999.,2018-04-22 00:00:00,2018-04-25 17:15:13,VPC da AWS
76,101.99.54.99,80 or 1=999999.,2018-04-22 00:00:00,2018-04-25 17:15:13,VPC da AWS
77,101.99.54.99,80 or 1=999999.,2018-04-22 00:00:00,2018-04-25 17:15:13,VPC da AWS
78,101.99.54.99,80 or 1=999999.,2018-04-22 00:00:00,2018-04-25 17:15:13,VPC da AWS
79,101.99.54.99,80 or 1=999999.,2018-04-22 00:00:00,2018-04-25 17:15:13,VPC da AWS
80,101.99.54.99,80 or 1=999999.,2018-04-22 00:00:00,2018-04-25 17:15:13,VPC da AWS
81,101.99.54.99,80 or 1=999999.,2018-04-22 00:00:00,2018-04-25 17:15:13,VPC da AWS
82,101.99.54.99,80 or 1=999999.,2018-04-22 00:00:00,2018-04-25 17:15:13,VPC da AWS
83,101.99.54.99,80 or 1=(/**/sE,2018-04-22 00:00:00,2018-04-25 17:15:13,VPC da AWS
84,101.99.54.99,80 or 1=(/**/sE,2018-04-22 00:00:00,2018-04-25 17:15:13,VPC da AWS
85,101.99.54.99,80 or 1=(/**/sE,2018-04-22 00:00:00,2018-04-25 17:15:13,VPC da AWS
86,101.99.54.99,79 or 1=(/**/sE,2018-04-22 00:00:00,2018-04-25 17:15:13,VPC da AWS
87,101.99.54.99,79 or 1=(/**/sE,2018-04-22 00:00:00,2018-04-25 17:15:13,VPC da AWS
88,101.99.54.99,79 or 1=999999.,2018-04-22 00:00:00,2018-04-25 17:15:13,VPC da AWS
89,101.99.54.99,79 or 1=999999.,2018-04-22 00:00:00,2018-04-25 17:15:13,VPC da AWS
90,101.99.54.99,79 or 1=999999.,2018-04-22 00:00:00,2018-04-25 17:15:13,VPC da AWS
91,101.99.54.99,79 or 1=999999.,2018-04-22 00:00:00,2018-04-25 17:15:13,VPC da AWS
92,101.99.54.99,79 or 1=999999.,2018-04-22 00:00:00,2018-04-25 17:15:13,VPC da AWS
93,101.99.54.99,79 or 1=999999.,2018-04-22 00:00:00,2018-04-25 17:15:13,VPC da AWS
94,101.99.54.99,79 or 1=999999.,2018-04-22 00:00:00,2018-04-25 17:15:13,VPC da AWS
95,101.99.54.99,79 or 1=999999.,2018-04-22 00:00:00,2018-04-25 17:15:13,VPC da AWS
96,101.99.54.99,79 or 1=999999.,2018-04-22 00:00:00,2018-04-25 17:15:13,VPC da AWS
97,101.99.54.99,79 or 1=999999.,2018-04-22 00:00:00,2018-04-25 17:15:13,VPC da AWS
98,101.99.54.99,79 or 1=999999.,2018-04-22 00:00:00,2018-04-25 17:15:13,VPC da AWS
99,101.99.55.41,79 or 1=999999.,2018-04-22 00:00:00,2018-04-25 17:15:13,VPC da AWS
100,101.99.55.41,79 or 1=999999.,2018-04-22 00:00:00,2018-04-25 17:15:13,VPC da AWS
101,101.99.55.41,79 or 1=999999.,2018-04-22 00:00:00,2018-04-25 17:15:13,VPC da AWS
102,101.99.55.41,79 or 1=999999.,2018-04-22 00:00:00,2018-04-25 17:15:13,VPC da AWS
103,101.99.55.41,79 or 1=999999.,2018-04-22 00:00:00,2018-04-25 17:15:13,VPC da AWS
104,101.99.55.41,79 or 1=999999.,2018-04-22 00:00:00,2018-04-25 17:15:13,VPC da AWS
105,101.99.55.41,79 or 1=999999.,2018-04-22 00:00:00,2018-04-25 17:15:13,VPC da AWS
106,101.99.55.41,79 or 1=999999.,2018-04-22 00:00:00,2018-04-25 17:15:13,VPC da AWS
107,101.99.55.41,79 or 1=999999.,2018-04-22 00:00:00,2018-04-25 17:15:13,VPC da AWS
108,101.99.55.41,79 or 1=999999.,2018-04-22 00:00:00,2018-04-25 17:15:13,VPC da AWS
109,101.99.55.41,79 or 1=999999.,2018-04-22 00:00:00,2018-04-25 17:15:13,VPC da AWS
110,101.99.55.41,79 or 1=999999.,2018-04-22 00:00:00,2018-04-25 17:15:13,VPC da AWS
111,101.99.55.41,79 or 1=999999.,2018-04-22 00:00:00,2018-04-25 17:15:13,VPC da AWS
112,101.99.55.41,79 or 1=999999.,2018-04-22 00:00:00,2018-04-25 17:15:13,VPC da AWS
113,101.99.55.41,79 or 1=999999.,2018-04-22 00:00:00,2018-04-25 17:15:13,VPC da AWS
114,101.99.55.41,79 or 1=999999.,2018-04-22 00:00:00,2018-04-25 17:15:13,VPC da AWS
115,101.99.55.41,79 or 1=999999.,2018-04-22 00:00:00,2018-04-25 17:15:13,VPC da AWS
116,101.99.55.41,79 or 1=999999.,2018-04-22 00:00:00,2018-04-25 17:15:13,VPC da AWS
117,101.99.55.41,79 or 1=999999.,2018-04-22 00:00:00,2018-04-25 17:15:13,VPC da AWS
118,101.99.55.41,79 or 1=999999.,2018-04-22 00:00:00,2018-04-25 17:15:13,VPC da AWS
119,101.99.55.41,79 or 1=999999.,2018-04-22 00:00:00,2018-04-25 17:15:13,VPC da AWS
120,101.99.55.41,79 or 1=999999.,2018-04-22 00:00:00,2018-04-25 17:15:13,VPC da AWS
121,101.99.55.41,79 or 1=999999.,2018-04-22 00:00:00,2018-04-25 17:15:13,VPC da AWS
122,101.99.55.41,79 or 1=999999.,2018-04-22 00:00:00,2018-04-25 17:15:13,VPC da AWS
123,101.99.55.41,79 or 1=999999.,2018-04-22 00:00:00,2018-04-25 17:15:13,VPC da AWS
124,101.99.55.41,79 or 1=999999.,2018-04-22 00:00:00,2018-04-25 17:15:13,VPC da AWS
125,101.99.55.41,79 or 1=999999.,2018-04-22 00:00:00,2018-04-25 17:15:13,VPC da AWS
126,101.99.55.41,79 or 1=999999.,2018-04-22 00:00:00,2018-04-25 17:15:13,VPC da AWS
127,101.99.55.41,79 or 1=999999.,2018-04-22 00:00:00,2018-04-25 17:15:13,VPC da AWS
128,101.99.55.41,79 or 1=999999.,2018-04-22 00:00:00,2018-04-25 17:15:13,VPC da AWS
129,101.99.55.41,79 or 1=999999.,2018-04-22 00:00:00,2018-04-25 17:15:13,VPC da AWS
130,101.99.55.41,79 or 1=999999.,2018-04-22 00:00:00,2018-04-25 17:15:13,VPC da AWS
131,101.99.55.41,79 or 1=999999.,2018-04-22 00:00:00,2018-04-25 17:15:13,VPC da AWS

