id,video,idCategoria,nome,ativo,atalho,website,detalhes,referencia,paginasDouradas
,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/e_sFok9soDg"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></i",16,Cooperativa de Macuco Casimiro de Abreu,1,Cooperativa de Macuco Casimiro de Abreu,<blank>,,cooperativa de macuco casimiro de abreu,0
60,<blank>,14,EletroSAT,1,,NULL,"AV.Bandeirantes,78-Centro-Casimiro de Abreu/RJ (22)2778-1204 (22)8144-0362(22)9715-0303\r\n E-mail:v.almeida@entormail.com.br",,0
61,<blank>,31,Agro Campo,1,,NULL,"Rodovia RJ 148,numero 34-Asa Sul-Sumidouro -RJ (22)2531-1437 (22)9221-8974",<blank>,0
62,<blank>,,,1,<blank>,NULL,Disk-entrega (22)2537-1752,<blank>,0
63,<blank>,,Abiatar,1,<blank>,NULL,"CosmÃ©tico,Perfumaria",<blank>,0
64,<blank>,,Auto Posto Ribeiro,1,<blank>,NULL,<blank>,<blank>,0
65,<blank>,20,FarmÃ¡cia Gomes ManipulaÃ§Ã£o,,<blank>,NULL,Medicamentos e Perfumaria: Aqui tem FarmÃ¡cia Popular:\r\nDisk Entrega (22)2537-1354 Carmo/RJ,<blank>,0
66,,20,FarmÃ¡cia do Mazinho,1,<blank>,NULL,"(22)2537-1606 Honestidade,Seriedade,Bom atendimento: CENTRO CARMO/RJ",<blank>,0
67,<blank>,16,Quitanda do Rodrigo,1,<blank>,NULL,Rua,<blank>,0
68,<blank>,36,W V Ã\x81gua Mineral,1,<blank>,NULL,"Rua Carlos Nioac ,20 loja 04 Rio das Ostras/RJ (22)2764-3131/9861-9672/7835-1743/7835-1744/ID:106073*2/106073*4.",,0
69,<blank>,36,Disk Ã\x81gua Rio das Ostras,1,<blank>,NULL,(CaminhÃ£o,<blank>,0
70,<blank>,20,FarmÃ¡cia Santo AntÃ´nio,1,FarmÃ¡cia Santo AntÃ´nio,NULL,"Rua CÃ´nego GonÃ§alves,Centro Carmo/RJ(22)2537-1353",<blank>,0
71,<blank>,16,Horti Fruti JB,1,<blank>,NULL,Carmo/RJ (22)2537-1141,<blank>,0
72,<blank>,14,ELETRO SUMIDOURO,1,<blank>,NULL,"RUA 10 DE JUNHO,138 CENTRO-SUMIDOURO/RJ (22)2531-2142/9233-9111 ELETROSUMIDOURO@YAHOO.COM.BR",<blank>,0
73,<blank>,29,aÃ§ougue do dalmo,1,<blank>,<blank>,"RUA SENADOR DANTAS,355-CENTRO-CARMO/RJ  (22)2537-1451",<blank>,0
74,<blank>,37,SEGURANÃ\x87A ELETRÃ\x94NICA,1,<blank>,<blank>,"RUA 10 DE JUNHO,138,CENTRO-SUMIDOURO/RJ (22)2531-2142/9233-9111",<blank>,0
75,,38,,1,<blank>,<blank>,"ALAMEDA CARLOS LACERDA,147-LIBERDADE-RIO DAS OSTRAS/RJ (22)2764-1427.PARAFUSOS,FERRAGENS,FERRAMENTAS,MOLAS,CORREIAS,MATERIAIS HIDRÃ\x81ULICOS,ElÃ©trica em Geral...",<blank>,0
76,<blank>,39,,1,Marquinho MÃ¡quinas,NULL,"Rua Faria de Oliveira,730 loja 2-Bairro Volta-Sumidouro-RJ (22)2531-1423 (22)92175914",<blank>,0
,<blank>,,Posto Brasil,1,POSTO BRASIL SUMIDOURO-RJ,<blank>,POSTO,<blank>,0
,<blank>,19,Restaurante dos Amigos,,,<blank>,,<blank>,0
79,,40,Fazenda  SÃ£o TomÃ©,1,,NULL,Estrada Bela jÃ´ana km 3 Sumidouro/RJ (22)9906-9240,<blank>,0
,<blank>,,AQUAMARINE,1,AQUAMARINE MARMORARIA,NULL,"RUA SANTO AMARO,LT03-QD.09,PALMITAL-RIO DAS OSTRAS-RJ(22)9274-1701",<blank>,0
81,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/5_ISF232IX0"" frameborder=""0"" allowfullscreen></iframe>",19,O Bom Sabor,1,Restaurante  e Pizzaria Bom Sabor  Rio das Ostras/RJ,<blank>,"Rua JosÃ© de Alencar,392-Recanto-Rio das Ostras/RJ (22)2764-1660/9719-8740/7812-5412/920*2977",<blank>,0
82,<blank>,41,TOP GRAN Marmoraria,,TOP GRAN Marmoraria Rio das Ostras/RJ,NULL,Rod.Amaral Peixoto (Esquina com a Santa Catarina)Rio das Ostras/RJ(22)2777-2020/9949-3366/78141371 ID:125*94366/98*30272,<blank>,0
83,<blank>,42,Centro ClÃ­nico Dr.Carlos de AraÃºjo Braz,1,,NULL,Rua,<blank>,0
84,<blank>,19,Restaurante dos Amigos,1,Restaurante dos Amigos Carmo-RJ,NULL,DireÃ§Ã£o,<blank>,0
85,<blank>,43,Palace Padaria e Confeitaria,1,Palace Padaria e Confeitaria,NULL,"Rua Abel Siqueira 40,Recanto Rio das Ostras/RJ",<blank>,0
86,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/O7lf5o24i6w"" frameborder=""0"" allowfullscreen></iframe>",43,padaria pÃ£o chic,1,padaria pÃ£o chic rio das ostras,www.frimagazine.com.br,"  padaria pÃ£o chic,bairro Recanto, Rio das Ostras/RJ",<blank>,0
87,"<iframe width=""420"" height=""315"" src=""https://www.youtube.com/embed/UA86us8e6zQ"" frameborder=""0"" allowfullscreen></iframe>",1,FONTENELE Materiais de ConstruÃ§Ã£o,1,FONTENELE Materiais de ConstruÃ§Ã£o,www.frimagazine.com.br,"Rua Abel Siqueira 67,loja01-RECANTO RIO DAS OSTRAS-RJ.(22)2771-9000/2760-4375",<blank>,0
88,<blank>,25,Auto Posto Soledade 1,1,<blank>,www.facebook.com/pages/Auto-posto-Soledade/437860202944420?fref=ts,"estrada soledade motas, soledade-4 distrito-n.1555-sumidouro-rj",combutivel ,0
89,<blank>,20,Dose Certa,1,<blank>,NULL,PraÃ§a Orlando Oberlander 01LOJA-2 CENTRO BOM JARDIM-RJ (22)2566-2199,<blank>,0
90,<blank>,1,Dois IrmÃ£os Materiais de ConstruÃ§Ã£o,1,Dois IrmÃ£os Materiais de ConstruÃ§Ã£o,NULL,"Rua Domingos Farias,258-Palmital Rio das Ostras-RJ (22)2760-1514",<blank>,0
91,<blank>,44,Guido Wood MÃ¡quinas e Ferramentas,1,Guido Wood MÃ¡quinas e Ferramentas,NULL,"Av.Dos Bandeirantes,982 (22)2771-8063/7835-8782  ID:104*124088",Materiais de ConstruÃ§Ã£o,0
92,<blank>,79,chocolataria gramado nova friburgo,1,chocolataria gramado nova friburgo,<blank>,Chocolataria Gramado Nova Friburgo.RJ 116 NÂº243A Ponte da Saudade-a 200m da rodoviÃ¡ria Sul-Nova Friburgo/RJ (22)2523-8586,<blank>,0
93,<blank>,23,Genesis InformÃ¡tica,1,<blank>,NULL,Cordeiro centro/RJ(22)2551-3836-8126-6470,<blank>,0
94,<blank>,41,MARMORARIA EM RIO DAS OSTRAS LELEI,1,MARMORARIA EM RIO DAS OSTRAS FRIMAGAZINE,www.frimagazine.com.br," Marmoraria em rio das ostras lelei; Estrada do Palmital,s/n Cidade Praiana-rio das ostras a marmraria lelei trabala com projetos para cozinhas, estabelecimentos comerciais ,igrejas/RJ(22)2771-6158/9842-7581/9233-7312/9823-2665- OrÃ§amento sem compromisso em sua casa!", marmoraria em rio das ostras,0
95,<blank>,26,JS Azeredo Carpintaria e Macenaria,1,JS Azeredo Carpintaria e Macenaria,NULL,"Rua Rio Grande do Sul,Qd.57Lt.20 Cidade Praiana-Rio das Ostras-RJ/ Daniel(22)9812-5472/Jefferson(22)9917-3692 (22)2760-1917",JS Azeredo,0
96,<blank>,45,,1,Rio Sondas ConstruÃ§Ãµes,www.riosondas.com.br,"(Geraldo Fernandes (22)9815-2845ID:81*2524)(Marcus Vinicius Eng.Civil(22)9871-8429ID:81*17975) Rua Barros,141-Centro-Shopping Village Salas 36e37-Rio das Ostras-RJ(22)2760-1961",<blank>,0
97,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/uBPU8gTFiOc"" frameborder=""0"" allowfullscreen></iframe>",46,Ultragaz em Rio das Ostras,1,AlianÃ§a gÃ¡s,<blank>,Ultra lagos:Av.Amaral Peixoto.1538 -Rio das Ostras Disk gÃ¡s(22)2774-8409/97402-6103 (vivo),<blank>,0
98,<blank>,47, RHIAGRO AgropecuÃ¡ria e Bazar,1,A.A RHIAGRO AgropecuÃ¡ria e Bazar,<blank>,"Rua Abel Siqueira,19-Recanto-Rio das Ostras/RJ  Disk(22)2760-0222/9855-5946 ENTREGAMOS EM SUA CASA COM O MAIOR CARINHO!", RHIAGRO AgropecuÃ¡ria e Bazar,0
99,<blank>,19,Two Way Restaurante e Pizzaria,1,Two Way Restaurante e Pizzaria,<blank>,(22)2764-6565.Rua,<blank>,0
100,<blank>,45,Rio Sondas,1,Rio Sondas,www.riosondas.com.br,Rua Borda do Mato76/201 GrajaÃº-Rio de janeiro/RJ(21)9815-2179.riosondasmas@gmail.com,<blank>,0
101,<blank>,48,GABRY IMÃ\x93VEIS ,1,GABRY IMÃ\x93VEIS ,<blank>,"Rod.Amaral Peixoto,4680-lj09-Centro Rio das Ostras(22)2777-2287/9914-4375/7811-3983ID:920*1342/7811-2054ID:920*1343 www.gabyimoveis.com.br",<blank>,0
102,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/zdDpIWstEuw"" frameborder=""0"" allowfullscreen></iframe>",1,Point das Tintas ,1,Point das Tintas barra de sÃ£o joÃ£o,<blank>,"point das tintas Rod.Amaral Peixoto,934-Centro-Barra de",tintas,
103,<blank>,49,L  Lingerie friburgo,1,<blank>,www.frimagazine.com.br,"  friburgo lingerie. Rod.Amaral Peixoto,916,Barra de SÃ£o",<blank>,0
104,<blank>,50,,1,EspaÃ§o,NULL,EspaÃ§o,<blank>,0
105,,50,Ponto da Beleza,1,Ponto da Beleza CosmÃ©ticos e Produtos de Beleza. em Cabo Frio,NULL,Ponto,<blank>,0
106,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/3I80W2E__vs"" frameborder=""0"" gesture=""media"" allowfullscreen></iframe>",, suprigesso marilea,1,suprigesso marilea em ria das ostras,www.suprigesso.com.br,suprigesso,suprigesso marilea,0
107,<blank>,1,Carvalho Tavares  Materiais de ConstruÃ§Ã£o,1,Carvalho,NULL,Carvalho,<blank>,0
,<blank>,50,Instituto da Beleza,1,Instituto da Beleza em cabo frio,<blank>,Instituto,<blank>,0
,,41,,1,O Granito Marmoraria em cabo frio/RJ,,,<blank>,0
110,<blank>,,CÃ©u e Mar Restaurante e Lanchonete,1,CÃ©u e Mar Restaurate e Lanchonete em rio das ostras,NULL,"CÃ©u e Mar Restaurante e Lanchonete. Rod.Amaral Peixoto,Lt3,18-Cidade Beira Mar-Rio das Ostras/RJ  Disk Entr",<blank>,0
111,<blank>,52,Ã\x93tica LÃ©o Joias em Rio das Ostras - RJ,1,oticaleojoias,,"Rua Bangu,265 loja07- Liberdade- Rio das Ostras/RJ (22)2771-8887/2777-2330. oticaleojois@hotmail.com",<blank>,0
112,<blank>,51,Madeiras na regiÃ£o dos lagos,1,,NULL,"WM Madeiras.Rod.Amaral Peixoto,km133,Unamar-Cabo Frio.",<blank>,0
113,<blank>,52,Ã\x93tica LÃ©o Joias em Rio das Ostras - RJ,,,<blank>,Ã\x93tica,,0
114,<blank>,1,"marilea pisos, rio das ostras, materiais de construÃ§Ã",1,MARILÃ‰A,marilea pisos,Av.Jane Maria Martins Figueira.938-Jardim MarilÃ©a- Rio das ostras/RJ (em frete Ã  Conssessionaria Casal - volkswagen) (22)3324-2068/996135928,marilea pisos faz parte do site frimagazine,
,<blank>,50,studio de beleza andrÃ©a riscado,,Studio de Beleza AndrÃ©a Riscado em cabo frio,<blank>,,<blank>,0
116,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/YqP9lvs1eXY"" frameborder=""0"" allowfullscreen></iframe>",1,                                                   Campanati Materiais de construÃ§Ã£o,1,Campanati,<blank>,Campanati,,0
,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/F40EuLh8ecQ"" frameborder=""0"" allowfullscreen></iframe>",53,,1,,<blank>,,<blank>,0
118,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/Yyxq-Tk1pS0"" frameborder=""0"" allowfullscreen></iframe>",54,auto escola hf3,,auto escola hf3 em rio das ostras/rj,www.frimagazine.com.br,"Auto Escola HF3. Rua Laercio Lucio de Carvalho nÂº46,Bairro Novo Rio das Ostras-RIO DAS OSTRAS/RJ (22)2764-6323/99801-5507. ",<blank>,0
119,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/HaGBLnkntSE"" frameborder=""0"" allowfullscreen></iframe>",28,injet rio,1,mecÃ¢nica injet rio em rio das ostras,www.frimagazine.com.br,"Injet Rio.RUA Pompeu Correia da Gama,73 loja 1,MarilÃ©a-Rio das Ostras/RJ (22)2771-0926/99820-9112/ID:10*4280. injet-rio@hotmail.com   Cambio AutomÃ¡tico - RevisÃ£o de InjeÃ§Ã£o - MecÃ¢nica em Geral.",<blank>,0
120,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/QfD79KHCZ0M"" frameborder=""0"" allowfullscreen></iframe>",55,mercado do alumÃ­nio,1,mercado do alumÃ­nio em rio das ostras/rj,<blank>,"Mercado do AlumÃ­nio. Av.Jane M.Martins Fiqueira,RIO DAS OSTRAS/RJ (22)2760-6786. Rua Tiradentes,205-Cajueiros,MACAÃ\x89/RJ (22)2772-6789/2759-9534.mercadoaluminio@uol.com.br",alumÃ­nio mercado,0
121,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/rMAyxlY5xZw"" frameborder=""0"" allowfullscreen></iframe>",53,foxcal ,1,foxcal  em rio das ostras,www.foxcal.com.br,foxcal,<blank>,0
122,<blank>,38,bazar fort,1,<blank>,<blank>,Av.JÃºlio,<blank>,0
123,<blank>,38,casa do quica,1,<blank>,<blank>,"rua Monte LÃ­bano,33-Centro-Nova Friburgo/RJ(22)2522-2625/2523-3507",<blank>,0
124,<blank>,1,g gallo martuchelli materiais de construÃ§Ã£o,1, gallo martuchelli materiais de construÃ§Ã£o,www.frimagazine.com.br,Bonsucesso-TeresÃ³polis/RJ (21)2641-1174,<blank>,0
125,<blank>,44,casa do padrÃ£o,1,<blank>,<blank>,"Rua Thurler,04-Prado,Cons.Paulino-Nova Friburgo/RJ(22)2527-0659",<blank>,0
126,<blank>,1,pedra show,1,<blank>,<blank>,"RUA MANOEL AFONSO MANOLO,9-Jardim Ouro Preto-Nova Friburgo/RJ (22)2529-0295",<blank>,0
127,<blank>,30,senna campos ,1,<blank>,<blank>,Rua,<blank>,0
128,<blank>,44,soldabrÃ¡s,1,<blank>,<blank>,"Av.Euterpe Friburguense,36-Centro-Nova Friburgo/RJ(22)2522-9722/2522-9408/2523-2250,soldabras-nf@hotmail.com",<blank>,0
129,<blank>,46,sÃ³ gÃ¡s de friburgo,1,<blank>,<blank>,"Av.Nossa Senhora do Amparo,3409-Conselheiro Paulino-Nova Friburgo/RJ (22)2527-3210 sogas@hotmail.com.br",<blank>,0
130,<blank>,37,marques cel,1,marques cel,www.frimagazine.com.br,"Av. antÃ´nio mario de azevedo,12.932-loja 01,campo do",<blank>,0
131,<blank>,22,opÃ§Ã£o peÃ§as automotivas,1,<blank>,<blank>,"Av.Gov.Roberto Silveira,1350-Ouro Preto-Nova Friburgo/RJ (22)2580-1237",<blank>,0
132,<blank>,52,Ã³tica visÃ£o da serra,1,<blank>,<blank>,"RUA PORTUGAL,33,LOJA03-CENTRO-NOVA FRIBURGO/RJ(22)3512-1196/3512-1197",<blank>,0
133,<blank>,30,partenon ,1,<blank>,<blank>,"Av.Walter Machado Thedin,284-Mury-Nova Friburgo/RJ(22)2542-1733/2522-6578",<blank>,0
134,<blank>,56,pousada recanto das flores,1,<blank>,www.pousadarecantodasfloresnf.com.br,AV.ANTÃ”NIO,<blank>,0
135,<blank>,43,andre cafÃ©,1,<blank>,<blank>,"RUA MONSENHOR MIRANDA,20-LOJA 05-CENTRO NOVA FRIBURGO/RJ (22)2523-6598",<blank>,0
136,<blank>,23,js info,1,<blank>,www.jsinfo-nf.com.br,"RUA BENJAMIM CONSTANT 249,LOJA 4,DUAS PEDRAS-NOVA FRIBURGO/RJ(22)2523-0317/8816-5558",<blank>,0
137,<blank>,27,west mÃ¡quinas,1,<blank>,www.westmaquinas.com.br,"RUA PREFEITO GUSTAVO LIRA,47-OLARIA-NOVA FRIBURGO/RJ(22)2533-2070/2526-6032",<blank>,0
138,<blank>,27,rg acessÃ³rios,1,<blank>,www.rgdefriburgo.com.br,AV.ANTÃ”NIO,<blank>,0
139,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/jiHatRxx9Co"" frameborder=""0"" allowfullscreen></iframe>",18,esquadrishow em nova friburgo,1,esquadrishow,www.frimagazine.com.br,"ESQUADRISHOW ALUMÃ\x8dNIO EM NOVA FRIBURGO.RUA PADRE ROBERTO SABÃ“IA DE MEDEIROS,20-CENTRO,NOVA FRIBURGO/RJ(22)2523-7296/99203-6215",<blank>,0
140,<blank>,23,mundo virtual,1,mundo virtual,<blank>, Rua Beriene Salgado loja 6 Centro-Cordeiro/RJ (22)2551-0165,<blank>,0
141,<blank>,58,assinatura,1,sky frimaqgazine,<blank>,"RUA ALAMEDA CASIMIRO DE ABREU 665,RIO DAS OSTRAS/RJ (22)2771-9441/9955-5800/8843-1723/8131-8171/7014-0341 ID:981*5412",,0
142,<blank>,54,auto escola du tiÃ£o,1,<blank>,<blank>,Nova Friburgo:(22)2523-2728/2522-2301.Bom Jardim (22) 2566-3564.Cordeiro (22)2551-0552,<blank>,0
143,<blank>,25,auto posto tropical,1,<blank>,,BONSUCESSO/RJ (21)2641-1978,<blank>,0
144,<blank>,37,betalarm,1,<blank>,www.betalarm.com.br,"AVENIDA EMIL CLEFF,881-BAIRRO IPU- NOVA FRIBURGO/RJ (22)2522-2982/9821-9284",<blank>,
,<blank>,31,bettosa pet shop,1,bettosa pet shop,www.facebook.com/bettosa.petshop.9?fref=ts,"Bettosa Pet Shop FRIBURGO SHOPPING -2ÂºPISO-LOJA 231 CENTRO,NOVA FRIBURGO/RJ(22)2521-1377/99959-4847.Oferecemos:BANHO",<blank>,
146,,23,suporte,1,informÃ¡tica,www.bottosinformatica.com.br," informatica empresarial em nova friburgo,bottos informÃ¡tica",informÃ¡tica,
147,<blank>,22,brennda distribuidora de Ã³leo lubrificante,1,<blank>,<blank>,"AV. DOS FERROVIÃ\x81RIOS,183- DUA PEDRAS-NOVA FRIBURGO/RJ(22)2527-0257",<blank>,0
148,<blank>,18,calhas tatu,1,<blank>,<blank>,NOVA FRIBURGO/RJ (22)2528-1421/9993-3985,<blank>,0
149,<blank>,41,castelo das pedras marmoraria,1,<blank>,<blank>,"RUA PALMEIRAS,1321,QUADRA 2-BELMONT-CONSELHEIRO PAULINO-NOVA FRIBURGO/RJ(22)3066-1830/9734-3234",<blank>,0
150,<blank>,19,churrascaria sol e luar,1,<blank>,<blank>,"AVENIDA PRESIDENTE VARGAS,105,CENTRO CORDEIRO-RJ",<blank>,0
