localidade,uf,cep,tipo,nome,ch_bai,bairro,ch_loc,tip_log,prefixo,cxa_pos,endlimpo,endereco,descricao,logradouro,complemento
ABAIRA,BA,46690000,<blank>,<blank>,0,<blank>,326,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ABAPA (CASTRO),PR,84185000,<blank>,<blank>,0,<blank>,5730,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ABARE,BA,48680000,<blank>,<blank>,0,<blank>,327,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ABARRACAMENTO (RIO DAS FLORES),RJ,27670000,<blank>,<blank>,0,<blank>,6839,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ABATIA,PR,86460000,<blank>,<blank>,0,<blank>,5731,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ABDON BATISTA,SC,89636000,<blank>,<blank>,0,<blank>,8319,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ABEL FIGUEIREDO,PA,68527000,<blank>,<blank>,0,<blank>,4523,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ABELARDO LUZ,SC,89830000,<blank>,<blank>,0,<blank>,8320,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ABELHAS (VITORIA DA CONQUISTA),BA,45112000,<blank>,<blank>,0,<blank>,328,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ABILIO MARTINS (IPU),CE,62252000,<blank>,<blank>,0,<blank>,1123,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ABOBORA (JUAZEIRO),BA,48922700,<blank>,<blank>,0,<blank>,329,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ABRANTES,BA,0,<blank>,<blank>,0,<blank>,330,0,<blank>,0,CidadeDeCEPUnico,VER > CAMACARI,Cidade De CEP Unico,<blank>,<blank>
ABRE CAMPO,MG,35365000,<blank>,<blank>,0,<blank>,2624,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ABREULANDIA,TO,77693000,<blank>,<blank>,0,<blank>,9791,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ABREUS (ALTO RIO DOCE),MG,36263000,<blank>,<blank>,0,<blank>,2625,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ABUNA (PORTO VELHO),RO,76843000,<blank>,<blank>,0,<blank>,7310,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ACAIACA,MG,35438000,<blank>,<blank>,0,<blank>,2626,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ACAILANDIA,MA,65930000,<blank>,<blank>,0,<blank>,2369,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ACAJUTIBA,BA,48360000,<blank>,<blank>,0,<blank>,331,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ACAMPAMENTO DAS MINAS (TELEMACO BORBA),PR,84277500,<blank>,<blank>,0,<blank>,5732,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ACARA,PA,68690000,<blank>,<blank>,0,<blank>,4524,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ACARAPE,CE,62785000,<blank>,<blank>,0,<blank>,1124,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ACARAU,CE,62580000,<blank>,<blank>,0,<blank>,1125,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ACARI,RN,59370000,<blank>,<blank>,0,<blank>,7124,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ACAUA,PI,64748000,<blank>,<blank>,0,<blank>,5508,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ACEGUA,RS,96445000,<blank>,<blank>,0,<blank>,7388,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ACIOLI (JOAO NEIVA),ES,29687000,<blank>,<blank>,0,<blank>,1797,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ACOITA CAVALO (ESPERANCA DO SUL),RS,98636000,<blank>,<blank>,0,<blank>,12560,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ACOPIARA,CE,63560000,<blank>,<blank>,0,<blank>,1126,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ACORIZAL,MT,78480000,<blank>,<blank>,0,<blank>,4272,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ACRELANDIA,AC,69945000,<blank>,<blank>,0,<blank>,1,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ACREUNA,GO,75960000,<blank>,<blank>,0,<blank>,2051,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ACU,RN,59650000,<blank>,<blank>,0,<blank>,7125,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ACU DA TORRE (MATA DE SAO JOAO),BA,48288000,<blank>,<blank>,0,<blank>,332,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ACUCENA,MG,35147000,<blank>,<blank>,0,<blank>,2627,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ACUDE DOS PINHEIROS (IBICUITINGA),CE,62957000,<blank>,<blank>,0,<blank>,12216,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ACUDINA (SANTA MARIA DA VITORIA),BA,47645000,<blank>,<blank>,0,<blank>,333,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ACUDINHO (TAMBORIL),CE,63779001,<blank>,<blank>,0,<blank>,13652,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ACUDINHO DOS COSTAS (MOMBACA),CE,63619000,<blank>,<blank>,0,<blank>,12680,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ACUNGUI (RIO BRANCO DO SUL),PR,83550000,<blank>,<blank>,0,<blank>,5733,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ACUPE (SANTO AMARO),BA,44218000,<blank>,<blank>,0,<blank>,334,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ACURUI (ITABIRITO),MG,35451000,<blank>,<blank>,0,<blank>,2628,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ADAMANTINA,SP,17800000,<blank>,<blank>,0,<blank>,8853,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ADAO COLARES (BOTUMIRIM),MG,39597000,<blank>,<blank>,0,<blank>,2629,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ADELANDIA,GO,76155000,<blank>,<blank>,0,<blank>,2052,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ADHEMAR DE BARROS (TERRA RICA),PR,87895000,<blank>,<blank>,0,<blank>,5734,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ADOLFO,SP,15230000,<blank>,<blank>,0,<blank>,8854,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ADRIANOPOLIS,PR,83490000,<blank>,<blank>,0,<blank>,5735,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ADRIANOPOLIS (GRANJA),CE,62435000,<blank>,<blank>,0,<blank>,1127,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ADRO DE SAO GONCALO (ITIUBA),BA,48859000,<blank>,<blank>,0,<blank>,12410,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ADUSTINA,BA,48435000,<blank>,<blank>,0,<blank>,335,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
AFLIGIDOS (SAO GONCALO DOS CAMPOS),BA,44338000,<blank>,<blank>,0,<blank>,336,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
AFOGADOS DA INGAZEIRA,PE,56800000,<blank>,<blank>,0,<blank>,5136,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
AFONSO ARINOS (COMENDADOR LEVY GASPARIAN),RJ,25875000,<blank>,<blank>,0,<blank>,6841,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
AFONSO BEZERRA,RN,59510000,<blank>,<blank>,0,<blank>,7126,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
AFONSO CLAUDIO,ES,29600000,<blank>,<blank>,0,<blank>,1798,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
AFONSO CUNHA,MA,65505000,<blank>,<blank>,0,<blank>,2370,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
AFONSO RODRIGUES (SAO LUIZ GONZAGA),RS,97825000,<blank>,<blank>,0,<blank>,7389,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
AFRANIO,PE,56360000,<blank>,<blank>,0,<blank>,5137,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
AFRANIO PEIXOTO (LENCOIS),BA,46965000,<blank>,<blank>,0,<blank>,337,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
AFUA,PA,68890000,<blank>,<blank>,0,<blank>,4525,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
AGHA (PIUMA),ES,29287000,<blank>,<blank>,0,<blank>,1799,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
AGISSE (RANCHARIA),SP,19610000,<blank>,<blank>,0,<blank>,8855,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
AGOSTINHO (CASTRO),PR,84194200,<blank>,<blank>,0,<blank>,5736,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
AGRESTINA,PE,55495000,<blank>,<blank>,0,<blank>,5138,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
AGRICOLANDIA,PI,64440000,<blank>,<blank>,0,<blank>,5509,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
AGROLANDIA,SC,88420000,<blank>,<blank>,0,<blank>,8321,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
AGRONOMICA,SC,89188000,<blank>,<blank>,0,<blank>,8322,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
AGROPOLIS BELA VISTA (SANTAREM),PA,68111000,<blank>,<blank>,0,<blank>,4526,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
AGROVILA SAO SEBASTIAO DO CABURI (PARINTINS),AM,69159000,<blank>,<blank>,0,<blank>,11095,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
AGUA AZUL (LAPA),PR,83770000,<blank>,<blank>,0,<blank>,5737,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
AGUA AZUL DO NORTE,PA,68533000,<blank>,<blank>,0,<blank>,4527,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
AGUA BOA,MG,39790000,<blank>,<blank>,0,<blank>,2630,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
AGUA BOA,MT,78635000,<blank>,<blank>,0,<blank>,4273,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
AGUA BOA (PAICANDU),PR,87145000,<blank>,<blank>,0,<blank>,5738,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
AGUA BOA (ROCHEDO),MS,79452000,<blank>,<blank>,0,<blank>,4102,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
AGUA BRANCA,AL,57490000,<blank>,<blank>,0,<blank>,23,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
AGUA BRANCA,PB,58748000,<blank>,<blank>,0,<blank>,4848,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
AGUA BRANCA,PI,64460000,<blank>,<blank>,0,<blank>,5510,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
AGUA BRANCA (GUARAPUAVA),PR,85139500,<blank>,<blank>,0,<blank>,5739,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
AGUA BRANCA DE MINAS (COMERCINHO),MG,39629000,<blank>,<blank>,0,<blank>,2631,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
AGUA CLARA,MS,79680000,<blank>,<blank>,0,<blank>,4103,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
AGUA COMPRIDA,MG,38110000,<blank>,<blank>,0,<blank>,2632,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
AGUA DA PRATA (BRASNORTE),MT,78358000,<blank>,<blank>,0,<blank>,12068,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
AGUA DOCE,SC,89654000,<blank>,<blank>,0,<blank>,8323,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
AGUA DOCE (IBICUI),BA,45295000,<blank>,<blank>,0,<blank>,338,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
AGUA DOCE DO MARANHAO,MA,65578000,<blank>,<blank>,0,<blank>,2371,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
AGUA DOCE DO NORTE,ES,29820000,<blank>,<blank>,0,<blank>,1800,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
AGUA FRIA,BA,48170000,<blank>,<blank>,0,<blank>,339,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
AGUA FRIA (BELO JARDIM),PE,55168000,<blank>,<blank>,0,<blank>,5139,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
AGUA FRIA (CHAPADA DOS GUIMARAES),MT,78197000,<blank>,<blank>,0,<blank>,4274,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
AGUA FRIA (QUIXERE),CE,62929000,<blank>,<blank>,0,<blank>,13893,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
AGUA FRIA (XINGUARA),PA,68559300,<blank>,<blank>,0,<blank>,4528,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
AGUA FRIA DE GOIAS,GO,73780000,<blank>,<blank>,0,<blank>,2053,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
AGUA LIMPA,GO,75665000,<blank>,<blank>,0,<blank>,2054,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
AGUA MINERAL (GUARAPUAVA),PR,85126000,<blank>,<blank>,0,<blank>,5741,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
AGUA NOVA,RN,59995000,<blank>,<blank>,0,<blank>,7127,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
AGUA PRETA,PE,55550000,<blank>,<blank>,0,<blank>,5140,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
AGUA SANTA,RS,99965000,<blank>,<blank>,0,<blank>,7390,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
AGUA SANTA DE MINAS (TOMBOS),MG,36845000,<blank>,<blank>,0,<blank>,12892,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
AGUA VERDE (GUAIUBA),CE,61895000,<blank>,<blank>,0,<blank>,1128,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
AGUA VERMELHA (CASTRO),PR,84197700,<blank>,<blank>,0,<blank>,5742,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
AGUA VERMELHA (SAO CARLOS),SP,13578000,<blank>,<blank>,0,<blank>,8856,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
AGUA VIVA (ESTRELA DALVA),MG,36728000,<blank>,<blank>,0,<blank>,2633,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
AGUACU (CUIABA),MT,78108000,<blank>,<blank>,0,<blank>,4275,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
AGUAI,SP,13860000,<blank>,<blank>,0,<blank>,8857,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
AGUAI (ITAPAJE),CE,62602000,<blank>,<blank>,0,<blank>,1129,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
AGUANIL,MG,37273000,<blank>,<blank>,0,<blank>,2634,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
AGUAPEI (VILA BELA DA SANTISSIMA TRINDADE),MT,78248000,<blank>,<blank>,0,<blank>,4276,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
AGUAPES (OSORIO),RS,95529000,<blank>,<blank>,0,<blank>,11100,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
AGUAS BELAS,PE,55340000,<blank>,<blank>,0,<blank>,5141,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
AGUAS BELAS (BOA VIAGEM),CE,63887000,<blank>,<blank>,0,<blank>,12993,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
AGUAS BRANCAS (URUBICI),SC,88655000,<blank>,<blank>,0,<blank>,8324,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
AGUAS CLARAS (JUARA),MT,78577000,<blank>,<blank>,0,<blank>,4277,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
AGUAS CLARAS (MAFRA),SC,89320000,<blank>,<blank>,0,<blank>,8325,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
AGUAS CLARAS (VIAMAO),RS,94760000,<blank>,<blank>,0,<blank>,7391,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
AGUAS DA PRATA,SP,13890000,<blank>,<blank>,0,<blank>,8858,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
AGUAS DE ARAXA,MG,0,<blank>,<blank>,0,<blank>,2635,0,<blank>,0,CidadeDeCEPUnico,VER > ARAXA,Cidade De CEP Unico,<blank>,<blank>
AGUAS DE CHAPECO,SC,89883000,<blank>,<blank>,0,<blank>,8326,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
AGUAS DE CONTENDAS (CONCEICAO DO RIO VERDE),MG,37435000,<blank>,<blank>,0,<blank>,2636,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
AGUAS DE LINDOIA,SP,13940000,<blank>,<blank>,0,<blank>,8859,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
AGUAS DE SANTA BARBARA,SP,18770000,<blank>,<blank>,0,<blank>,8860,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
AGUAS DE SAO PEDRO,SP,13525000,<blank>,<blank>,0,<blank>,8861,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
AGUAS DO PAULISTA (PARATINGA),BA,47505000,<blank>,<blank>,0,<blank>,340,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
AGUAS FERREAS (SAO PEDRO DOS FERROS),MG,35362000,<blank>,<blank>,0,<blank>,2637,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
AGUAS FORMOSAS,MG,39880000,<blank>,<blank>,0,<blank>,2638,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
AGUAS FRIAS,SC,89843000,<blank>,<blank>,0,<blank>,8327,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
AGUAS MORNAS,SC,88150000,<blank>,<blank>,0,<blank>,8328,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
AGUAS VERMELHAS,MG,39990000,<blank>,<blank>,0,<blank>,2639,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
AGUDO,RS,96540000,<blank>,<blank>,0,<blank>,7392,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
AGUDOS DO SUL,PR,83850000,<blank>,<blank>,0,<blank>,5743,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
AGUIA BRANCA,ES,29795000,<blank>,<blank>,0,<blank>,1801,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
