id_uf,uf,ch_bai,bairro,ch_loc
79,AC,55403,HABITASA,16
80,AC,55456,HORTO FLORESTAL,16
81,AC,55431,ILSON RIBEIRO,16
82,AC,55407,INVASAO DA SEIS DE AGOSTO,16
83,AC,27,IPASE,16
84,AC,55480,IRINEU SERRA,16
85,AC,29,ISAURA PARENTE,16
86,AC,28,IVETE VARGAS,16
87,AC,55452,JARDIM AMERICA,16
88,AC,55468,JARDIM BRASIL,16
89,AC,30,JARDIM DE ALAH,16
90,AC,31,JARDIM EUROPA,16
91,AC,55449,JARDIM MANOEL JULIAO,16
92,AC,55444,JARDIM NAZLE,16
93,AC,55469,JARDIM PRIMAVERA,16
94,AC,55388,JARDIM TROPICAL,16
95,AC,33,JOAO EDUARDO I,16
96,AC,55423,JOAO EDUARDO II,16
97,AC,55426,JOAO PAULO,16
98,AC,55479,JORGE LAVOCAT,16
99,AC,32,JOSE AUGUSTO,16
100,AC,55436,LBA VILA BETEL LL,16
101,AC,55460,LOTEAMENTO DOS ENGENHEIROS,16
102,AC,55433,LOTEAMENTO IPANEMA,16
103,AC,55459,LOTEAMENTO ISAURA PARENTE,16
104,AC,55400,LOTEAMENTO JAGUAR,16
105,AC,55393,LOTEAMENTO JARDIM SAO FRANCISCO,16
106,AC,55467,LOTEAMENTO JOAFRA,16
107,AC,55475,LOTEAMENTO NOVO HORIZONTE,16
108,AC,55415,LOTEAMENTO SANTA HELENA,16
109,AC,55402,LOTEAMENTO SANTA LUZIA,16
110,AC,50460,LOTEAMENTO SANTO AFONSO,16
111,AC,55473,LOTEAMENTO VILA MARIA,16
112,AC,55472,MOCINHA MAGALHAES,16
113,AC,55477,MONTANHES,16
114,AC,36,MORADA DO SOL,16
115,AC,55435,NOVA ESPERANCA,16
116,AC,37,NOVA ESTACAO,16
117,AC,38,NOVO HORIZONTE,16
118,AC,39,PALHEIRAL,16
119,AC,40,PAPOUCO,16
120,AC,55461,PARQUE DAS PALMEIRAS,16
121,AC,55398,PARQUE DOS SABIAS,16
122,AC,49922,PAZ,16
123,AC,55441,PEDRO ROSENO,16
124,AC,55420,PISTA,16
125,AC,41,PLACAS,16
126,AC,42,PLACIDO DE CASTRO,16
127,AC,55439,PORTAL DA AMAZONIA,16
128,AC,55411,PRAIA DO AMAPA,16
129,AC,43,PREVENTORIO,16
130,AC,45,QUINZE,16
131,AC,55497,RAIMUNDO MELO,16
132,AC,55412,RECANTO DOS BURITIS,16
133,AC,55437,RESIDENCIAL ARACA,16
134,AC,55457,RESIDENCIAL IOLANDA,16
135,AC,55464,RESIDENCIAL PETROPOLIS,16
136,AC,55416,ROSA LINDA,16
137,AC,46,SANTA INES,16
138,AC,47,SANTA QUITERIA,16
139,AC,48,SAO FRANCISCO,16
140,AC,50,SEIS DE AGOSTO,16
141,AC,51,SOBRAL,16
142,AC,52,TANCREDO NEVES,16
143,AC,55432,TANGARA,16
144,AC,53,TAQUARI,16
145,AC,55,TRIANGULO NOVO,16
146,AC,55409,TRIANGULO VELHO,16
147,AC,57,VILA ACRE,16
148,AC,57389,VILA AEROPORTO,16
149,AC,60626,VILA ALBERT SAMPAIO,16
150,AC,60645,VILA CUSTODIO FREIRE,16
151,AC,55417,VILA DA AMIZADE,16
152,AC,55408,VILA DO DNER,16
153,AC,66491,VILA IVONETE,16
154,AC,60627,VILA LIBERDADE,16
155,AC,55474,VILA NOVA,16
156,AC,60625,VILA SANTA CECILIA,16
157,AC,60815,VILA VERDE,16
158,AC,55428,VILAGE TIRADENTES,16
159,AC,55450,VILAGE WILDE MACIEL,16
160,AC,55392,VITORIA,16
161,AC,55418,VOLTA SECA,16
162,AC,55429,WALDEMAR MACIEL,16
163,AC,55396,WANDERLEY DANTAS,16
164,AC,55397,XAVIER MAIA,16
165,AC,55445,7º BEC,16
166,AC,39340,CENTRO,17
167,AC,39333,CENTRO,18
168,AC,39330,CENTRO,19
169,AC,39324,CENTRO,20
170,AC,39335,CENTRO,21
171,AC,39326,CENTRO,22
172,AL,38526,CENTRO,23
173,AL,38527,SITIO BOQUEIRAO,23
174,AL,38532,CENTRO,26
175,AL,38538,CENTRO,27
176,AL,61591,ALAZAO,30
177,AL,59,ALTO DO CRUZEIRO,30
178,AL,59967,AREA RURAL DE ARAPIRACA,30
179,AL,60,BAIXA GRANDE,30
180,AL,61,BAIXAO,30
181,AL,61592,BATINGAS,30
182,AL,62,BOA VISTA,30
183,AL,49572,BOM SUCESSO,30
184,AL,63,BRASILIA,30
185,AL,64,BRASILIANA,30
186,AL,65,CACIMBAS,30
187,AL,66,CAITITUS,30
188,AL,67,CANAFISTULA,30
189,AL,68,CAPIATA,30
190,AL,69,CAVACO,30
191,AL,70,CENTRO,30
192,AL,61590,DEPUTADO NEZINHO,30
193,AL,71,ELDORADO,30
194,AL,72,GUARIBAS,30
195,AL,73,ITAPOA,30
196,AL,43867,JARDIM DE MARIA,30
197,AL,74,JARDIM ESPERANCA,30
198,AL,75,JARDIM TROPICAL,30
199,AL,54603,JOAO PAULO II,30
200,AL,76,MANUEL TELES,30
201,AL,54604,MASSARANDUBA,30
202,AL,77,NOVA ESPERANCA,30
203,AL,78,NOVO HORIZONTE,30
204,AL,79,OLHO D AGUA DOS CAZUZINHAS,30
205,AL,80,OURO PRETO,30
206,AL,54605,PADRE ANTONIO LIMA NETO,30
207,AL,81,PLANALTO,30
208,AL,83,PRIMAVERA,30
209,AL,84,SANTA EDWIGES,30
210,AL,85,SANTA ESMERALDA,30
211,AL,86,SAO LUIZ,30
212,AL,43866,SAO LUIZ II,30
213,AL,87,SENADOR ARNON DE MELO,30
214,AL,30420,SENADOR NILO COELHO,30
215,AL,88,SENADOR TEOTONIO VILELA,30
216,AL,89,VERDES CAMPOS,30
217,AL,82,ZELIA BARBOSA ROCHA,30
218,AL,48761,BRANCA DE ATALAIA,31
219,AL,38520,CENTRO,31
220,AL,38546,JOSE PAULINO,31
221,AL,38513,POVOADO BAIXA DA ONCA,32
222,AL,38537,BANANEIRAS,35
223,AL,38759,CENTRO,36
224,AL,38771,CENTRO,37
225,AL,32239,BARRA GRANDE,39
226,AL,54640,BARRO VERMELHO,11635
227,AL,38774,CENTRO,40
228,AL,38601,CENTRO,42
229,AL,38524,CENTRO,43
230,AL,38571,CENTRO,47
231,AL,38570,PERI PERI,47
232,AL,51211,BONSUCESSO,11083
233,AL,50173,CENTRO,11303
234,AL,54641,CENTRO,11082
235,AL,51212,ZONA RURAL,11082
236,AL,38602,CENTRO,50
237,AL,38749,CENTRO,51
239,AL,38652,CENTRO,56
240,AL,38529,CENTRO,57
241,AL,38626,CENTRO,58
242,AL,38463,CENTRO,59
243,AL,38464,POVOADO CAPIM,59
245,AL,38543,CENTRO,61
248,AL,38751,CENTRO,65
249,AL,38614,CENTRO,67
252,AL,32278,POVOADO OITIZEIRO,68
255,AL,32287,BARREIRAS,71
257,AL,48859,BOTAFOGO,71

