id,localidade,uf,cep,tipo,nome,ch_bai,bairro,ch_loc,prefixo,endereco,logradouro,complemento
25828036335108129,ANEL (VICOSA),AL,57710000,NULL,<blank>,NULL,NULL,27,NULL,Cidade De CEP Unico,NULL,NULL
25828036335108122,ANUM NOVO (PALMEIRA DOS INDIOS),AL,57610100,NULL,<blank>,NULL,NULL,28,NULL,Cidade De CEP Unico,NULL,NULL
25828036335108121,ANUM VELHO (PALMEIRA DOS INDIOS),AL,57610200,NULL,<blank>,NULL,NULL,29,NULL,Cidade De CEP Unico,NULL,NULL
25828036335108124,ATALAIA,AL,57690000,NULL,<blank>,NULL,NULL,31,NULL,Cidade De CEP Unico,NULL,NULL
25828036335108125,BAIXA DA ONCA (ARAPIRACA),AL,57318150,NULL,<blank>,NULL,NULL,32,NULL,Cidade De CEP Unico,NULL,NULL
25828036335108120,BAIXA DO CAPIM (ARAPIRACA),AL,57318250,NULL,<blank>,NULL,NULL,33,NULL,Cidade De CEP Unico,NULL,NULL
25828036335108123,BALSAMO (ARAPIRACA),AL,57318350,NULL,<blank>,NULL,NULL,34,NULL,Cidade De CEP Unico,NULL,NULL
25828036335108132,BANANEIRAS (ARAPIRACA),AL,57318450,NULL,<blank>,NULL,NULL,35,NULL,Cidade De CEP Unico,NULL,NULL
25828036335108137,BARRA DE SANTO ANTONIO,AL,57925000,NULL,<blank>,NULL,NULL,36,NULL,Cidade De CEP Unico,NULL,NULL
25828036335108135,BARRA DE SAO MIGUEL,AL,57180000,NULL,<blank>,NULL,NULL,37,NULL,Cidade De CEP Unico,NULL,NULL
25828036335108131,BARRA DO BONIFACIO (PALMEIRA DOS INDIOS),AL,57610300,NULL,<blank>,NULL,NULL,38,NULL,Cidade De CEP Unico,NULL,NULL
25828036335108127,BARRA GRANDE (MARAGOGI),AL,57958000,NULL,<blank>,NULL,NULL,39,NULL,Cidade De CEP Unico,NULL,NULL
25828036335108126,BARREIRAS (CORURIPE),AL,57236000,NULL,<blank>,NULL,NULL,11697,NULL,Cidade De CEP Unico,NULL,NULL
25828036335108128,BARRO VERMELHO (JUNQUEIRO),AL,57270271,NULL,<blank>,NULL,NULL,11635,NULL,Cidade De CEP Unico,NULL,NULL
25828036335108130,BATALHA,AL,57420000,NULL,<blank>,NULL,NULL,40,NULL,Cidade De CEP Unico,NULL,NULL
25828036335108136,BELEM,AL,57630000,NULL,<blank>,NULL,NULL,42,NULL,Cidade De CEP Unico,NULL,NULL
25828036335108133,BELO MONTE,AL,57435000,NULL,<blank>,NULL,NULL,43,NULL,Cidade De CEP Unico,NULL,NULL
25828036335108139,BOA SORTE (PALMEIRA DOS INDIOS),AL,57610400,NULL,<blank>,NULL,NULL,44,NULL,Cidade De CEP Unico,NULL,NULL
25828036335108138,BOA VISTA (PALMEIRA DOS INDIOS),AL,57610500,NULL,<blank>,NULL,NULL,46,NULL,Cidade De CEP Unico,NULL,NULL
25828036335108140,BOCA DA MATA,AL,57680000,NULL,<blank>,NULL,NULL,47,NULL,Cidade De CEP Unico,NULL,NULL
25828036335108141,BOM JARDIM (ARAPIRACA),AL,57318550,NULL,<blank>,NULL,NULL,48,NULL,Cidade De CEP Unico,NULL,NULL
25828036335108143,BONIFACIO (PALMEIRA DOS INDIOS),AL,57610600,NULL,<blank>,NULL,NULL,49,NULL,Cidade De CEP Unico,NULL,NULL
25828036335108142,BONSUCESSO (CORURIPE),AL,57239000,NULL,<blank>,NULL,NULL,11083,NULL,Cidade De CEP Unico,NULL,NULL
25828036335108144,BOQUEIRAO (JAPARATINGA),AL,57953000,NULL,<blank>,NULL,NULL,11303,NULL,Cidade De CEP Unico,NULL,NULL
25828036335108145,BOTAFOGO (CORURIPE),AL,57237000,NULL,<blank>,NULL,NULL,11082,NULL,Cidade De CEP Unico,NULL,NULL
25828036335108155,CACIMBINHAS,AL,57570000,NULL,<blank>,NULL,NULL,51,NULL,Cidade De CEP Unico,NULL,NULL
25828036335108153,CAJARANA (ARAPIRACA),AL,57318650,NULL,<blank>,NULL,NULL,52,NULL,Cidade De CEP Unico,NULL,NULL
25828036335108147,CAJUEIRO,AL,57770000,NULL,<blank>,NULL,NULL,53,NULL,Cidade De CEP Unico,NULL,NULL
25828036335108146,CALDEIROES DE CIMA (PALMEIRA DOS INDIOS),AL,57614000,NULL,<blank>,NULL,NULL,54,NULL,Cidade De CEP Unico,NULL,NULL
25828036335108151,CAMPESTRE,AL,57968000,NULL,<blank>,NULL,NULL,56,NULL,Cidade De CEP Unico,NULL,NULL
25828036335108148,CAMPO ALEGRE,AL,57250000,NULL,<blank>,NULL,NULL,57,NULL,Cidade De CEP Unico,NULL,NULL
25828036335108152,CAMPO GRANDE,AL,57350000,NULL,<blank>,NULL,NULL,58,NULL,Cidade De CEP Unico,NULL,NULL
25828036335108154,CANA BRAVA (SAO SEBASTIAO),AL,57279000,NULL,<blank>,NULL,NULL,11698,NULL,Cidade De CEP Unico,NULL,NULL
25828036335108150,CANAA (ARAPIRACA),AL,57318750,NULL,<blank>,NULL,NULL,59,NULL,Cidade De CEP Unico,NULL,NULL
25828036335108149,CANAFISTULA (PALMEIRA DOS INDIOS),AL,57613000,NULL,<blank>,NULL,NULL,60,NULL,Cidade De CEP Unico,NULL,NULL

