idAge,cidAge,ufAge,baiAge,endAge,cepAge,nomAge
59,FEIRA DE SANTANA,BA,CENTRO,"AVENIDA  GETULIO VARGAS, 78 - CENTRO - FEIRA DE SANTANA / BA",44001970,AC FEIRA DE SANTANA
60,FEIRA DE SANTANA,BA,CENTRO,"RUA  BOTICARIO MONCORVO, 483 - CENTRO - FEIRA DE SANTANA / BA",44001974,AGF KALILANDIA
61,FEIRA DE SANTANA,BA,OLHOS D AGUA,"RUA  ESTHER FREITAS, 73 - OLHOS D AGUA - FEIRA DE SANTANA / BA",44003970,AGF DUQUE DE CAXIAS
62,FEIRA DE SANTANA,BA,CENTRO,"AVENIDA SENHOR DOS PASSOS, 669 - CENTRO - FEIRA DE SANTANA / BA",44002970,CDD FEIRA DE SANTANA - CENTRO
63,ILHEUS,BA,CENTRO,"RUA MARQUES DE PARANAGUA, 200 - CENTRO - ILHEUS / BA",45653970,AC ILHEUS
64,ILHEUS,BA,PONTAL,"RUA CORONEL PESSOA, 183 - PONTAL - ILHEUS / BA",45654971,AGF SAO JOAO BATISTA
65,ILHEUS,BA,TERESOPOLIS,"RUA  TIRADENTES, 54-B - TERESOPOLIS - ILHEUS / BA",45652970,AGF TIRADENTES
66,ITABUNA,BA,CENTRO,"AVENIDA  INACIO TOSTA FILHO, 139 - CENTRO - ITABUNA / BA",45600970,AC ITABUNA
67,ITABUNA,BA,CENTRO,"AVENIDA  FRANCISCO RIBEIRO JUNIOR, 198 LOJA 6 - CENTRO - ITABUNA / BA",45600976,AGF BEIRA RIO
68,JEQUIE,BA,CENTRO,"RUA DA ITALIA, 11 - CENTRO - JEQUIE / BA",45200970,AC JEQUIE
69,JUAZEIRO,BA,CENTRO,"AVENIDA  SANTOS DUMONT, 235 - CENTRO - JUAZEIRO / BA",48903970,AC JUAZEIRO
70,PAULO AFONSO,BA,PERPETUO SOCORRO,"RUA DA PROVIDENCIA, 192 - PERPETUO SOCORRO - PAULO AFONSO / BA",48603970,AC PAULO AFONSO
71,SALVADOR,BA,AMARALINA,"AVENIDA  AMARALINA, 908 - AMARALINA - SALVADOR / BA",41900970,AC AMARALINA
72,SALVADOR,BA,CENTRO,"RUA  CHILE, 22 - CENTRO - SALVADOR / BA",40020970,AC ASSOCIACAO BAIANA DE IMPRENSA
73,SALVADOR,BA,BAIXA DOS SAPATEIROS,"AVENIDA  JOSE JOAQUIM SEABRA, 234 - BAIXA DOS SAPATEIROS - SALVADOR / BA",40025971,AC BAIXA DOS SAPATEIROS
74,SALVADOR,BA,SAO TOME DE PARIPE,"ESTRADA DA BASE NAVAL DE ARATU, S/N - SAO TOME DE PARIPE - SALVADOR / BA",40800971,AC BASE NAVAL DE ARATU
75,SALVADOR,BA,BROTAS,"AVENIDA DOM JOAO VI, 1050 LOJA 02 - BROTAS - SALVADOR / BA",40285970,AC BROTAS
76,SALVADOR,BA,CABULA,"RUA  SILVEIRA MARTINS, 2050 - CABULA - SALVADOR / BA",41150970,AC CABULA
77,SALVADOR,BA,CALCADA,"AVENIDA  JEQUITAIA, 298/300 - CALCADA - SALVADOR / BA",40411970,AC CALCADA
78,SALVADOR,BA,CAMPO GRANDE,"RUA  FORTE DE SAO PEDRO, 66 - CAMPO GRANDE - SALVADOR / BA",40080970,AC CAMPO GRANDE
79,SALVADOR,BA,COMERCIO,"PRACA DA INGLATERRA, S/N - COMERCIO - SALVADOR / BA",40015970,AC CENTRAL SALVADOR
80,SALVADOR,BA,CENTRO ADMINISTRATIVO DA BAHIA,"AVENIDA  LUIS VIANA, S/N - CENTRO ADMINISTRATIVO DA BAHIA - SALVADOR / BA",41745970,AC CENTRO ADMINISTRATIVO DA BAHIA
81,SALVADOR,BA,LIBERDADE,"ESTRADA DA LIBERDADE, 435 - LIBERDADE - SALVADOR / BA",40375970,AC ESTRADA DA LIBERDADE
82,SALVADOR,BA,NAZARE,"LARGO DO CAMPO DA POLVORA, S/N - NAZARE - SALVADOR / BA",40040970,AC FORUM RUY BARBOSA
83,SALVADOR,BA,SUSSUARANA,"AVENIDA  ULYSSES GUIMARAES, 2799 - SUSSUARANA - SALVADOR / BA",41213970,AC FORUM TEIXEIRA DE FREITAS
84,SALVADOR,BA,ITAPUA,"RUA  GENEBALDO FIGUEIREDO, 81 - ITAPUA - SALVADOR / BA",41610970,AC ITAPUA
85,SALVADOR,BA,COMERCIO,"PRACA VISCONDE DE CAYRU, 250 - COMERCIO - SALVADOR / BA",40015975,AC MERCADO MODELO
86,SALVADOR,BA,PARIPE,"RUA DA ESTACAO, 108 - PARIPE - SALVADOR / BA",40810970,AC PARIPE
87,SALVADOR,BA,PITUBA,"AVENIDA  PAULO VI, 190 - PITUBA - SALVADOR / BA",41810971,AC PITUBA
88,SALVADOR,BA,PLATAFORMA,"RUA  ANTONIO BALBINO, 107 - PLATAFORMA - SALVADOR / BA",40710970,AC PLATAFORMA
89,SALVADOR,BA,RIO VERMELHO,"RUA  JOAO GOMES, 140 - RIO VERMELHO - SALVADOR / BA",41950970,AC RIO VERMELHO
90,SALVADOR,BA,SAO CAETANO,"ESTRADA DE CAMPINAS, 382 - SAO CAETANO - SALVADOR / BA",40391970,AC SAO CAETANO
91,SALVADOR,BA,NAZARE,"RUA DO CABRAL, 161 - NAZARE - SALVADOR / BA",40055970,AC TRIBUNAL REGIONAL DO TRABALHO
92,SALVADOR,BA,ONDINA,"AVENIDA  ADHEMAR DE BARROS, S/N - ONDINA - SALVADOR / BA",40170970,AC UNIVERSIDADE FEDERAL
93,SALVADOR,BA,BOCA DO RIO,"RUA  SIMOES FILHO, 12 - BOCA DO RIO - SALVADOR / BA",41705970,AGF AEROCLUBE
94,SALVADOR,BA,ITAPUA,"AVENIDA  DORIVAL CAYMMI, 85 - ITAPUA - SALVADOR / BA",41635971,AGF DUNAS DE ITAPUA
95,SALVADOR,BA,FEDERACAO,"RUA  CAETANO MOURA, 5-A - FEDERACAO - SALVADOR / BA",40210971,AGF CAETANO MOURA
96,SALVADOR,BA,PITUBA,"RUA  MATO GROSSO, 8 LOJA 4 - PITUBA - SALVADOR / BA",41830972,AGF NOSSA SENHORA DA LUZ
97,SALVADOR,BA,IMBUI,"RUA PADRE CASIMIRO QUIROGA, 236 LOJA 18 - IMBUI - SALVADOR / BA",41720970,AGF COMERCIAL IMBUI
98,SALVADOR,BA,JAGUARIBE,"RUA  HAECKEL JOSE DE ALMEIDA, 67 - JAGUARIBE - SALVADOR / BA",41613971,AGF PATAMARES
99,SALVADOR,BA,LIBERDADE,"ESTRADA DA LIBERDADE, 218 LOJA 07 - LIBERDADE - SALVADOR / BA",40375973,AGF LARGO DA LAPINHA
100,SALVADOR,BA,CAMINHO DAS ARVORES,"AVENIDA  TANCREDO NEVES, 2915 LOJA 4004 - CAMINHO DAS ARVORES - SALVADOR / BA",41820974,AGF SALVADOR SHOPPING
101,SALVADOR,BA,CAMINHO DAS ARVORES,"AVENIDA  TANCREDO NEVES, 1063 - CAMINHO DAS ARVORES - SALVADOR / BA",41820975,AGF CAMINHO DAS ARVORES
102,SALVADOR,BA,NORDESTE,"RUA  CRISTOVAO FERREIRA, 53 - NORDESTE - SALVADOR / BA",41905970,ACF NORDESTE DE AMARALINA
103,SALVADOR,BA,ARMACAO,"AVENIDA  OCTAVIO MANGABEIRA, 3900 - ARMACAO - SALVADOR / BA",41750971,ACF OTAVIO MANGABEIRA
104,SALVADOR,BA,PORTO SECO PIRAJA,"RUA  GENARO DE CARVALHO, 323 - PORTO SECO PIRAJA - SALVADOR / BA",41233971,AGF ALTO DO PORTO
105,SALVADOR,BA,RIBEIRA,"AVENIDA  PORTO DOS MASTROS, 300 LOJA 4 - RIBEIRA - SALVADOR / BA",40420972,ACF RIBEIRA
106,SALVADOR,BA,VITORIA,"AVENIDA  SETE DE SETEMBRO, 2127 LOJA 01 - VITORIA - SALVADOR / BA",40080971,ACF VITORIA
107,SALVADOR,BA,AMARALINA,"AVENIDA  AMARALINA, 908 - AMARALINA - SALVADOR / BA",41900971,CDD AMARALINA
108,SALVADOR,BA,BARRA,"AVENIDA  OCEANICA, 36 - BARRA - SALVADOR / BA",40140970,CDD BARRA
109,SALVADOR,BA,RESGATE,"RUA  ALCOBACA, 10 - RESGATE - SALVADOR / BA",41152970,CDD CABULA
110,SALVADOR,BA,MARES,"RUA COMENDADOR BASTOS, 5 - MARES - SALVADOR / BA",40455971,CDD CALCADA
111,SALVADOR,BA,LIBERDADE,"ESTRADA DA LIBERDADE, 439 - LIBERDADE - SALVADOR / BA",40375972,CDD FREDERICO PONTES
112,SALVADOR,BA,ITAPUA,"AVENIDA  DORIVAL CAYMMI, 123 - ITAPUA - SALVADOR / BA",41630971,CDD ITAPUA
113,SALVADOR,BA,GRANJAS RURAIS PRESIDENTE VARGAS,"RODOVIA  BR-324, 000KM 6,5 - GRANJAS RURAIS PRESIDENTE VARGAS - SALVADOR / BA",41230970,CDD PIRAJA
114,SALVADOR,BA,COMERCIO,"PRACA DA INGLATERRA, S/N 1Âº ANDAR - COMERCIO - SALVADOR / BA",40015971,CDD SALVADOR
115,SALVADOR,BA,PITUBA,"AVENIDA  PAULO VI, 190 1Âº ANDAR - PITUBA - SALVADOR / BA",41810979,CTE SALVADOR
116,SALVADOR,BA,PITUBA,"AVENIDA  PAULO VI, 190 3Âº ANDAR - PITUBA - SALVADOR / BA",41810972,CTC SALVADOR
118,TEIXEIRA DE FREITAS,BA,CENTRO,"AVENIDA MARECHAL CASTELO BRANCO, 351 - CENTRO - TEIXEIRA DE FREITAS / BA",45985970,AC TEIXEIRA DE FREITAS
120,VITORIA DA CONQUISTA,BA,BRASIL,"RUA SANTO ANTONIO, 77 - BRASIL - VITORIA DA CONQUISTA / BA",45051970,AC BAIRRO DEPARTAMENTO
121,VITORIA DA CONQUISTA,BA,CENTRO,"PRACA  JOAQUIM CORREIA, 41 - CENTRO - VITORIA DA CONQUISTA / BA",45000970,AC VITORIA DA CONQUISTA
122,VITORIA DA CONQUISTA,BA,ALTO MARON,"AVENIDA PRESIDENTE VARGAS, 151-A - ALTO MARON - VITORIA DA CONQUISTA / BA",45005970,AGF NOSSA SENHORA DAS VITORIAS
123,VITORIA DA CONQUISTA,BA,CENTRO,"AVENIDA  CENTENARIO, 74-A - CENTRO - VITORIA DA CONQUISTA / BA",45000971,AGF POCO ESCURO
124,VITORIA DA CONQUISTA,BA,RECREIO,"AVENIDA SAO GERALDO, 511 - RECREIO - VITORIA DA CONQUISTA / BA",45020971,AGF CENTRO

